head,relation,tail
Chang Wanquan,fight with small arms and light weapons,Chuck Hagel
Nuri al-Maliki,Make an appeal or request,Shura Council
Saud bin Faisal bin Abdul-Aziz,Meet at a 'third' location,Cabinet / Council of Ministers / Advisors (United States)
Citizen (India),Make an appeal or request,Ministry of Shipping (India)
Peter Greste,Make statement,Lawyer/Attorney (Egypt)
Foreign Affairs (South Korea),Complain officially,Japan
Evangelos Meimarakis,Express intent to meet or negotiate,Armenia
China,Sign formal agreement,Vietnam
Government (Venezuela),Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Venezuela)
Combatant (Taliban),"Impose blockade, restrict movement",Afghanistan
François Hollande,Make a visit,The Hague
Farm Worker (Thailand),"Investigate crime, corruption",Thailand
Citizen (India),Threaten,Head of Government (India)
Extremist (Syria),Use conventional military force,Militant (Syria)
Ashraf Ghani Ahmadzai,Appeal to others to meet or negotiate,Abdullah Abdullah
Citizen (Thailand),Engage in symbolic act,Military Personnel (Thailand)
Other Authorities / Officials (Nigeria),Demand,Government (Nigeria)
Afghanistan,Host a visit,Kazakhstan
Militant (Iraq),Accuse,Nuri al-Maliki
Annick Girardin,Make a visit,Foreign Affairs (Senegal)
Criminal (Argentina),Consult,Lawyer/Attorney (Argentina)
Iran,Express intent to cooperate economically,Afghanistan
Romania,Sign formal agreement,International Monetary Fund
Council of Europe,Consult,Foreign Affairs (Ukraine)
Khaled Bahah,Consult,Abdirahman Ducaale Bayle
South Korea,Express intent to meet or negotiate,Mexico
Food and Agriculture Organization,Consult,Head of Government (Egypt)
Sebastian Kurz,Host a visit,Sergey Viktorovich Lavrov
Lawyer/Attorney (Australia),Reject,Police (Australia)
Xi Jinping,Threaten,Military (China)
France,Host a visit,Transport (Spain)
Husam Mughazi,Make statement,Abdel Fattah Al-Sisi
Member of the Judiciary (Nigeria),Ease administrative sanctions,Dimeji Bankole
Imran Khan,Consult,Media Personnel (Pakistan)
Evangelos Venizelos,Host a visit,Mevlut Cavusoglu
Protester (Hong Kong),Demand,China
Barack Obama,Make a visit,Canada
Ministry (Nigeria),Express intent to cooperate,Head of Government (Nigeria)
Governor (Kenya),Praise or endorse,Media (Kenya)
United Arab Emirates,Engage in diplomatic cooperation,Ethiopia
Xi Jinping,Make a visit,Hun Sen
Religion (Senegal),Make statement,Aissata Tall Sall
Salman Khurshid,Make a visit,Sudan
Chang Wanquan,Engage in negotiation,Chuck Hagel
Citizen (Nigeria),Make pessimistic comment,Terrorist (Boko Haram)
European Parliament,Make a visit,Iran
Fishermen (India),Accuse,Naval (Sri Lanka)
Military (Philippines),Use conventional military force,Moro Islamic Liberation Front
Association of Southeast Asian Nations,Make pessimistic comment,China
Mohammad Javad Zarif,Make statement,Qatar
China,Make an appeal or request,Abdel Fattah Al-Sisi
France,Praise or endorse,Media Personnel (France)
Hezbollah,Provide military aid,Government (Syria)
Citizen (Nigeria),Make pessimistic comment,Murtala Nyako
Umar al Bashir,Praise or endorse,Citizen (Sudan)
Citizen (India),Criticize or denounce,Military Personnel (India)
Police (Australia),Consult,Criminal (Australia)
Morocco,Cooperate militarily,France
France,Sign formal agreement,South Africa
Mohammad Javad Zarif,Host a visit,Haider Al-Abadi
Police (Indonesia),"Return, release property",Citizen (Indonesia)
Agence France-Presse,Consult,Activist (Syria)
Head of Government (India),Praise or endorse,Governor (India)
Governor (India),Appeal for diplomatic cooperation (such as policy support),Citizen (India)
Daniel Scioli,Make statement,Presidential Candidate (Argentina)
Philippines,Host a visit,China
Citizen (India),Engage in symbolic act,Bhupinder Singh Hooda
Cabinet / Council of Ministers / Advisors (United States),Host a visit,China
Main Opposition (Sri Lanka),Praise or endorse,Maithripala Sirisena
Party Member (Belarus),Make an appeal or request,Citizen (Belarus)
Children (Israel),Physically assault,Police (Israel)
Pope Francis,Make a visit,Nir Barkat
Sujatha Singh,Express intent to meet or negotiate,China
Malaysia,Consult,Tajikistan
Governor (Kenya),Appeal for economic aid,Government (Kenya)
China,Express intent to meet or negotiate,Defense / Security Ministry (China)
Lawmaker (Lebanon),Consider policy option,Legislature (Lebanon)
Xi Jinping,Express intent to cooperate,Islam Karimov
Barack Obama,Express intent to meet or negotiate,Ashraf Ghani Ahmadzai
Representatives (Malaysia),Consult,Ministry (Malaysia)
Police (Belgium),Appeal for aid,Citizen (Belgium)
Djibouti,Express intent to meet or negotiate,Ethiopia
Government (Nigeria),Make an appeal or request,Farm Worker (Nigeria)
Kazakhstan,Consult,France
Business (Taiwan),Make optimistic comment,Vietnam
Mohammad Javad Zarif,Sign formal agreement,John Kerry
Barack Obama,Praise or endorse,China
Armed Band (Afghanistan),Use unconventional violence,Ashraf Ghani Ahmadzai
Canadian Armed Forces,Mobilize or increase armed forces,Canada
Party Member (Tanzania),Accuse,Citizen (Tanzania)
Criminal (United Arab Emirates),Praise or endorse,Member of the Judiciary (United Arab Emirates)
Government (Nigeria),Coerce,Education (Nigeria)
Head of Government (South Korea),Praise or endorse,Lawmaker (South Korea)
Milos Zeman,Make a visit,Kazakhstan
Cairo University,Express intent to yield,Police (Egypt)
Benjamin Netanyahu,Reject,Cabinet / Council of Ministers / Advisors (Israel)
Government (Pakistan),Demand,Protester (Pakistan)
Qatar,Engage in negotiation,Iran
North Atlantic Treaty Organization,Make statement,Foreign Affairs (Russia)
Philippines,Engage in diplomatic cooperation,France
Nguyen Xuan Phuc,Host a visit,Somsavat Lengsava
Benjamin Netanyahu,"Reject plan, agreement to settle dispute",Cabinet / Council of Ministers / Advisors (United States)
Joe Natuman,Consult,Xi Jinping
Pope Francis,Demand de-escalation of military engagement,Shimon Peres
Lawmaker (Argentina),Sign formal agreement,City Mayor (Argentina)
Ministry (Nigeria),Make statement,Member of the Judiciary (Nigeria)
Military Personnel (Philippines),Make statement,Media (Philippines)
Ministry (Egypt),Discuss by telephone,Adli Mansour
African Union,Use conventional military force,Insurgent (Al Qaeda)
Barack Obama,Express intent to meet or negotiate,Association of Southeast Asian Nations
Militia (Iraq),Mobilize or increase armed forces,Iraq
Media (China),Host a visit,Angola
Member of the Judiciary (Venezuela),"Arrest, detain, or charge with legal action",Citizen (Venezuela)
Police (Kenya),Make statement,Media (Africa)
Citizen (Georgia),Demonstrate for leadership change,Government (Georgia)
Office of the United Nations High Commissioner for Human Rights,Make statement,Morocco
Abu Sayyaf,Demand de-escalation of military engagement,Military (Philippines)
Military (Philippines),Express intent to provide material aid,Police (Philippines)
Leopoldo López,Express intent to cooperate,Citizen (Venezuela)
Citizen (Kenya),Appeal for diplomatic cooperation (such as policy support),Government (Kenya)
Head of Government (Egypt),Consult,Ministry (Egypt)
Iran,Make statement,South Korea
Citizen (Greece),Express intent to engage in diplomatic cooperation (such as policy support),New Democracy
Evo Morales,Make optimistic comment,International Court of Justice
Abdel Fattah Al-Sisi,Host a visit,Foreign Affairs (Norway)
Citizen (Czech Republic),Demonstrate or rally,Milos Zeman
Sergey Viktorovich Lavrov,Consult,Foreign Affairs (Syria)
Kim Jong-Un,Engage in negotiation,Sergey Viktorovich Lavrov
Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Iraq
Lawmaker (Argentina),Praise or endorse,Daniel Scioli
Al Jazeera,Make statement,Government (Kenya)
Malaysia,Make statement,Vietnam
Abdel Fattah Al-Sisi,Meet at a 'third' location,Federica Mogherini
Royal Administration (Saudi Arabia),Consult,Ashraf Ghani Ahmadzai
Police (Mozambique),"Arrest, detain, or charge with legal action",Armed Gang (RENAMO)
Angela Merkel,Appeal for diplomatic cooperation (such as policy support),Yulia Tymoshenko
Citizen (Kenya),Threaten,Military Personnel (Kenya)
Police (Philippines),Appeal for de-escalation of military engagement,Criminal (Philippines)
Ravi Shankar Prasad,Demand material cooperation,Citizen (India)
Member of the Judiciary (Brazil),Criticize or denounce,Citizen (Brazil)
Attacker (Niger),Use unconventional violence,Military Personnel - Special (Niger)
Iran,Engage in negotiation,Iraq
Head of Government (India),Express intent to meet or negotiate,Gambia
Court Judge (Kenya),"Return, release person(s)",Police (Kenya)
Cabinet / Council of Ministers / Advisors (United States),Consult,Head of Government (Ukraine)
Military Personnel (Mali),Engage in symbolic act,Citizen (Mali)
Barack Obama,Appeal for diplomatic cooperation (such as policy support),Citizen (International)
House of Representatives (Indonesia),Reject,Lawmaker (Indonesia)
Morocco,Engage in diplomatic cooperation,Guinea
Citizen (Nigeria),Criticize or denounce,Nigerian National Petroleum Corporation
"Government (Palestinian Territory, Occupied)",Criticize or denounce,Hamas
Citizen (North Korea),Make optimistic comment,North Korea
John Kerry,Express intent to meet or negotiate,Foreign Affairs (Ukraine)
Roberta Pinotti,Host a visit,Irakli Alasania
Governor (Kenya),Demand diplomatic cooperation (such as policy support),Government (Kenya)
Antonis Samaras,Make a visit,Indigenous People (Greece)
Haider Al-Abadi,Engage in negotiation,François Hollande
Haider Al-Abadi,Make an appeal or request,UN Security Council
Defense / Security Ministry (China),Provide humanitarian aid,China
Akali Leader,Accuse,Citizen (India)
China,Express intent to engage in diplomatic cooperation (such as policy support),Bolivia
Royal Administration (Nigeria),Consult,Oluṣẹgun Ọbasanjọ
China,Host a visit,New Zealand
Riek Machar,Make a visit,Sudan
China,Host a visit,Foreign Affairs (Russia)
Barack Obama,Reject,Canada
Sujatha Singh,Praise or endorse,Foreign Affairs (India)
Kuwait,Engage in diplomatic cooperation,Tajikistan
Barack Obama,Make an appeal or request,Angela Merkel
Majid Takht Ravanchi,Meet at a 'third' location,China
John F. Kelly,Make a visit,Colombia
Japan,Consult,Kim Jong-Un
Laos,Make statement,Thailand
Viktor Orban,Sign formal agreement,Citizen (Hungary)
Raúl Castro,Praise or endorse,Fernando Gonzalez
Legislature (Iraq),Occupy territory,Iraq
Iraq,Consult,Afghanistan
China,Consider policy option,North Korea
Gwangju District Court,Make statement,Lawyer/Attorney (South Korea)
Shura Council,Praise or endorse,Foreign Affairs (Libya)
Islam Karimov,Criticize or denounce,Kazakhstan
Yulia Tymoshenko,Consult,Elmar Brok
Head of Government (Afghanistan),Make a visit,Royal Administration (Saudi Arabia)
Najam Sethi,Make statement,Imran Khan
Governor (India),Discuss by telephone,Labor Union (India)
Angela Merkel,Make statement,John Kerry
Radoslaw Sikorski,Express intent to cooperate,Sergey Viktorovich Lavrov
Presidential Candidate (Argentina),Reject,Congress (Argentina)
William Ruto,Praise or endorse,Citizen (Kenya)
Abhisit Vejjajiva,Bring lawsuit against,Jatuporn Prompan
Citizen (Kenya),Criticize or denounce,Military Personnel - Special (Kenya)
Governor (Kenya),Demand,William Ruto
France,Host a visit,Morocco
Party Member (Czech Republic),Engage in negotiation,Milos Zeman
China,Demand,Japan
Angola,Consult,Congo
Iraq,Engage in negotiation,Member of Parliament (Iraq)
Myanmar,Make pessimistic comment,Thailand
Uganda People's Defence Force,Praise or endorse,South Sudan
Court Judge (Nigeria),Reject,Government (Nigeria)
Gurbanguly Berdymukhammedov,Make a visit,China
Association of Southeast Asian Nations,Make statement,Vietnam
New Zealand,Consult,Malaysia
Ananth Kumar,Make an appeal or request,Citizen (India)
Belize,Express intent to cooperate economically,Guatemala
Verkhovna Rada,Make an appeal or request,Head of Government (Ukraine)
Barack Obama,Apologize,Angela Merkel
Head of Government (Cuba),Express intent to cooperate,Raúl Castro
Domestic Affairs (Yemen),Use conventional military force,Citizen (Yemen)
Mexico,Host a visit,Cabinet / Council of Ministers / Advisors (United States)
Employee (Philippines),Accuse,Criminal (Philippines)
Member of Parliament (Ukraine),Make statement,Head of Government (Ukraine)
Government (Venezuela),fight with small arms and light weapons,Leopoldo López
Ashraf Ghani Ahmadzai,Make a visit,Jens Stoltenberg
Student (Cote d'Ivoire),Reduce relations,Police (Cote d'Ivoire)
Naval (Bangladesh),Make a visit,China
Jean-Yves Le Drian,Express intent to cooperate,Macky Sall
Kashim Shettima,Make optimistic comment,Citizen (Nigeria)
Xi Jinping,Make statement,Head of Government (China)
Abu Sayyaf,"Abduct, hijack, or take hostage",Philippines
Mexico,Host a visit,Lawyer/Attorney (Guatemala)
Labor Union (Brazil),Accuse,Citizen (Brazil)
Government (Kenya),Consult,Governor (Kenya)
Citizen (International),Criticize or denounce,Citizen (Australia)
Canada,Make statement,Police (Canada)
China,Express intent to cooperate,Maldives
Police (Israel),Investigate,Israeli Defense Forces
Treasury/Finance Ministry (Azerbaijan),Make a visit,Iran
Joseph Robinette Biden,Express intent to meet or negotiate,Japan
Business (Iran),Make statement,Ministry (Iran)
Jakaya Mrisho Kikwete,Make a visit,Congo
Barack Obama,Engage in negotiation,China
Philippines,Consult,Myanmar
Raj Thackeray,"Reject plan, agreement to settle dispute",Citizen (India)
Government (Syria),Make a visit,Iran
Police (Kenya),Make an appeal or request,Uhuru Muigai Kenyatta
Niger,Express intent to meet or negotiate,Mauritania
Philippines,Make statement,Military (Philippines)
Mohammad Javad Zarif,Make statement,Hezbollah
Ibrahim Hassan Dankwambo,Make statement,Danjuma Goje
Head of Government (South Korea),Make statement,North Korea
Citizen (Nigeria),Demand,Member of Legislative (Govt) (Nigeria)
South Korea,Consult,Foreign Affairs (United States)
Citizen (Namibia),Criticize or denounce,Legislature (Namibia)
Jakaya Mrisho Kikwete,Express intent to meet or negotiate,Citizen (Tanzania)
Iranian Parliament,Praise or endorse,Hezbollah
Ministry (Malaysia),Make empathetic comment,Citizen (Malaysia)
Mamnoon Hussain,Praise or endorse,Head of Government (South Korea)
Zhang Dejiang,Make a visit,Head of Government (Turkmenistan)
Police (Ukraine),Express intent to cooperate,Protester (Ukraine)
Bahrain,Express intent to engage in diplomatic cooperation (such as policy support),Morocco
Chuck Hagel,Host a visit,Fumio Kishida
Militia (Kenya),Threaten with military force,Police (Kenya)
Le Luong Minh,Accuse,China
Head of Government (Ukraine),Sign formal agreement,Angela Merkel
Gambia,Host a visit,Head of Government (India)
"Head of Government (Palestinian Territory, Occupied)",Make statement,Hamas
UN Security Council,Engage in diplomatic cooperation,Barack Obama
Medical Association (Nigeria),Express intent to meet or negotiate,Government (Nigeria)
Morocco,Praise or endorse,Guinea
Police (Philippines),Make statement,Abu Sayyaf
Other Authorities / Officials (United States),Express intent to meet or negotiate,China
Bahrain,Engage in material cooperation,United Arab Emirates
South Africa,Express intent to engage in diplomatic cooperation (such as policy support),France
Election Commission (India),Reject,Citizen (India)
North Korea,Threaten with military force,Government (United States)
Afghanistan,Sign formal agreement,Other Authorities / Officials (United States)
Government (Nigeria),Express intent to provide humanitarian aid,Indigenous People (Nigeria)
Hun Sen,Make statement,Thailand
Medical Personnel (India),Threaten,Citizen (India)
Foreign Affairs (Yemen),Consult,Mulatu Teshome
Police (Ukraine),Investigate,Dmytro Bulatov
Haider Al-Abadi,Reject,Nuri al-Maliki
Citizen (Bangladesh),fight with small arms and light weapons,Criminal (Bangladesh)
Ethiopia,Make a visit,South Korea
Head of Government (Pakistan),Make statement,Chaudhry Nisar Ali Khan
Pavlo Klimkin,Appeal for military aid,North Atlantic Treaty Organization
Iran,Demonstrate military or police power,Iraq
Governor (India),Make statement,Planning Commission (India)
Central Reserve Police Force,fight with small arms and light weapons,Citizen (India)
France,Consult,International Monetary Fund
Police (Saudi Arabia),"Arrest, detain, or charge with legal action",Attacker (Saudi Arabia)
Citizen (United Kingdom),Use unconventional violence,Raider (United Kingdom)
North Atlantic Treaty Organization,Consult,Iraq
Head of Government (Djibouti),Host a visit,Abdiweli Sheikh Ahmed
Women (Australia),Make an appeal or request,Police (Australia)
Abdullah Abdullah,Meet at a 'third' location,Ashraf Ghani Ahmadzai
Head of Government (Afghanistan),Make a visit,Xi Jinping
Legislature (Czech Republic),Praise or endorse,Milos Zeman
Iran,Host a visit,Head of Government (Turkmenistan)
France,Praise or endorse,Iran
Ashraf Ghani Ahmadzai,Demand,Attorney General (Afghanistan)
Police (Kenya),Use conventional military force,Militia (Kenya)
Niger,Express intent to meet or negotiate,France
Chuck Hagel,Consult,Iraq
Fumio Kishida,Express intent to cooperate,Retno Marsudi
Nicos Anastasiades,Make a visit,United Arab Emirates
China,Sign formal agreement,Ethiopia
Oluṣẹgun Ọbasanjọ,Demand,Royal Administration (Nigeria)
Khaled al-Obeidi,Provide humanitarian aid,Iraq
Afghanistan,Host a visit,Simon Gass
Myanmar,Consult,Vietnam
Malaysia,Make statement,Ministry (Malaysia)
Communist Party (Russia),Make a visit,North Korea
Head of Government (Latvia),Make statement,Party Member (Latvia)
National Council for Peace and Order of Thailand,Consult,Cabinet / Council of Ministers / Advisors (Thailand)
Legislature (Turkey),Provide military protection or peacekeeping,Iraq
Company - Owner or Operator (Iran),Engage in negotiation,Iran
Laos,Express intent to cooperate,Vietnam
Poland,Consult,Foreign Affairs (Russia)
Citizen (Nigeria),Make an appeal or request,Insurgency (Boko Haram)
Awami (People's) League,"Reject proposal to meet, discuss, or negotiate",Bangladesh Nationalist Party
Mevlut Cavusoglu,Express intent to meet or negotiate,Evangelos Venizelos
Haider Al-Abadi,Criticize or denounce,Joseph Robinette Biden
Chang Wanquan,Make statement,Vietnam
Mohammad Javad Zarif,Make statement,Japan
Abdullah Abdullah,Expel or withdraw peacekeepers,Election Commission (Afghanistan)
Member of Parliament (Australia),Share intelligence or information,Citizen (Australia)
Iraq,Provide humanitarian aid,Militant (Iraq)
Barack Obama,Discuss by telephone,Abdel Fattah Al-Sisi
Citizen (India),"Protest violently, riot",Member of Parliament (India)
Mohamed Ould Abdel Aziz,Host a visit,Abdul Aziz
Secretary of State for the Home Department,Make an appeal or request,Citizen (United Kingdom)
Amara Essy,Use conventional military force,Citizen (Cote d'Ivoire)
Citizen (India),Criticize or denounce,Medical Personnel (India)
Men (South Africa),Make an appeal or request,Member of the Judiciary (South Africa)
Citizen (Belgium),Physically assault,Citizen (Germany)
Shivraj Singh Chouhan,"Accuse of crime, corruption",Citizen (India)
Barack Obama,Express intent to provide military aid,North Atlantic Treaty Organization
Police (Canada),Accuse,Children (Canada)
Student (Burkina Faso),Make a visit,Al-Azhar University
Japan,Make a visit,Cambodia
Chibuike Rotimi Amaechi,Accuse,Government (Nigeria)
Border Security Force,"Arrest, detain, or charge with legal action",Citizen (Bangladesh)
Manohar Lal Khattar,Consult,Kaptan Singh Solanki
Japan,Make a visit,Vietnam
Iraq,Host a visit,Lloyd Austin
Jason C. Hu,Yield,Lin Chia-lung
Nuri al-Maliki,Make an appeal or request,Citizen (Unidentified State Actor)
Military Personnel - Special (Philippines),"Arrest, detain, or charge with legal action",Police (Philippines)
Barack Obama,Express intent to provide material aid,Government (Africa)
Military (Philippines),Use conventional military force,Criminal (Abu Sayyaf)
Other Authorities / Officials (Nigeria),Make statement,Labor Union (Nigeria)
China,Host a visit,Russian Navy
Police (Indonesia),Provide humanitarian aid,Citizen (Indonesia)
Riek Machar,Consult,Uhuru Muigai Kenyatta
Citizen (Kenya),Demand,Lawyer/Attorney (Kenya)
Citizen (Turkey),Appeal for diplomatic cooperation (such as policy support),Lawyer/Attorney (Turkey)
Citizen (India),Rally opposition against,Head of Government (India)
Tony Blair,Make a visit,Thailand
China,Host a visit,Abdulla Yameen
Lawyer/Attorney (Egypt),"Arrest, detain, or charge with legal action",Peter Greste
Head of Government (Nigeria),Appeal for military aid,Education (Nigeria)
Election Commission (India),Express intent to provide humanitarian aid,Citizen (India)
Other Authorities / Officials (Guatemala),Provide humanitarian aid,Guatemala
Head of Government (China),Engage in negotiation,Shimon Peres
Angela Merkel,Host a visit,John Kerry
Court Judge (India),Appeal for economic aid,Citizen (India)
South Korea,Ease administrative sanctions,Military Personnel (South Korea)
Guatemala,Occupy territory,Mexico
Militant (Yemen),fight with small arms and light weapons,Governor (Yemen)
Citizen (United Kingdom),Criticize or denounce,Environment Agency
Citizen (Tanzania),Criticize or denounce,Tanzania
Court Judge (Namibia),Refuse to release persons or property,Citizen (Namibia)
Victor Ponta,Accuse,Klaus Johannis
Congress (Argentina),Accuse,Cristina Fernández de Kirchner
Governor (India),Consult,Member of Parliament (India)
Mohammad Javad Zarif,Consult,Foreign Affairs (Belgium)
Citizen (United Arab Emirates),Consult,United Arab Emirates
Police (Tanzania),Torture,Businessperson (Tanzania)
Mainland Affairs Council,Make an appeal or request,China
Fumio Kishida,Express intent to cooperate,Foreign Affairs (South Korea)
Ministry (Morocco),Express intent to meet or negotiate,Morocco
France,Host a visit,Massoud Barzani
Government (Syria),"Reject plan, agreement to settle dispute",Representatives (Syria)
Xi Jinping,Praise or endorse,Cambodia
Peter Greste,Make statement,Court Judge (Egypt)
Senate (Switzerland),Express intent to cooperate economically,China
Police (Philippines),Accuse,Military (Philippines)
North Atlantic Treaty Organization,Meet at a 'third' location,Defense / Security Ministry (Ukraine)
Citizen (Nigeria),Appeal to yield,Government (Nigeria)
Citizen (India),Demand,Fishermen (India)
Citizen (Kenya),Threaten,Maasai
Victor Ponta,Discuss by telephone,Klaus Johannis
Military Personnel (India),Criticize or denounce,Citizen (India)
Evangelos Venizelos,Express intent to meet or negotiate,Joachim Gauck
Head of Government (South Korea),Make a visit,Bahrain
House of Representatives (Indonesia),Host a visit,Jusuf Kalla
Dragomir Stoynev,Consult,Guenther Oettinger
Sergey Viktorovich Lavrov,Discuss by telephone,Peter Szijjarto
Israeli Defense Forces,Use conventional military force,Iran
Taavi Rõivas,Express intent to meet or negotiate,Algirdas Butkevičius
Foreign Affairs (Ecuador),Grant asylum,Julian Paul Assange
Citizen (India),Demand change in leadership,Hemant Soren
Benjamin Netanyahu,Consult,Angela Merkel
Police (Uganda),Physically assault,Citizen (Uganda)
Citizen (Brazil),Accuse,Criminal (Brazil)
Ministry (South Africa),Investigate,Police (South Africa)
Abdel Fattah Al-Sisi,Express intent to engage in diplomatic cooperation (such as policy support),Meng Jianzhu
Amin Makki Madani,Make a visit,Ethiopia
Other Authorities / Officials (Mexico),Investigate,Mexico
Nestor Kirchner,Engage in diplomatic cooperation,Cristina Fernández de Kirchner
Lawyer/Attorney (Kenya),Criticize or denounce,Government (Kenya)
John Kerry,Make statement,North Atlantic Treaty Organization
Philippines,Sign formal agreement,Barack Obama
Maithripala Sirisena,Accuse,Mahinda Rajapaksa
Iraq,Consult,Foreign Affairs (Syria)
Military (Mexico),Make statement,Mexico
Malaysia,Host a visit,Hamas
Prayuth Chan-ocha,Make a visit,Japan
Børge Brende,Consult,Sergey Viktorovich Lavrov
France,Apologize,Morocco
Kazakhstan,Make an appeal or request,Iran
Ethiopia,Sign formal agreement,China
Pdea,"Arrest, detain, or charge with legal action",Criminal (Philippines)
Taavi Rõivas,Consult,Toomas Hendrik Ilves
Portugal,Express intent to meet or negotiate,Iran
Joseph Robinette Biden,Appeal for diplomatic cooperation (such as policy support),Nuri al-Maliki
Head of Government (South Korea),Make an appeal or request,China
Protester (Pakistan),Give ultimatum,Government (Pakistan)
Protester (Belgium),Consult,Police (Belgium)
Martin Indyk,Express intent to meet or negotiate,Tzipi Livni
Ashraf Ghani Ahmadzai,Make pessimistic comment,Government Official (Afghanistan)
Iraq,Accuse,Terrorist (Iraq)
Ibrahim Hassan Dankwambo,Make a visit,Education (Nigeria)
Legislature (Greece),Reject,Citizen (Greece)
Ireland,Express intent to engage in diplomatic cooperation (such as policy support),Ethiopia
Salim Idris,Reduce or break diplomatic relations,National Coalition for Syrian Revolutionary and Opposition Forces
Philip Hammond,Make statement,North Atlantic Treaty Organization
Government (Pakistan),Coerce,Protester (Pakistan)
Police (South Korea),Make statement,Lawyer/Attorney (South Korea)
Kuwait,Host a visit,Abu Bakr Abdullah al-Qirbi
Xi Jinping,Make an appeal or request,Milos Zeman
Government (Nigeria),Praise or endorse,Rauf Aregbesola
Staffan de Mistura,Express intent to meet or negotiate,UN Security Council
Philip Hammond,Make a visit,United Arab Emirates
Head of Government (China),Make an appeal or request,Ethiopia
Malaysia,Host a visit,Wan Azizah
UN Security Council,Host a visit,Daniel Scioli
Iraq,Express intent to cooperate,Legislature (Iraq)
Citizen (Brazil),Criticize or denounce,Luiz Inacio Lula Da Silva
Haider Al-Abadi,Consult,François Hollande
John Kerry,Make an appeal or request,Hamas
Media (United States),Consult,Foreign Affairs (Russia)
Court Judge (Kenya),Refuse to yield,Citizen (Kenya)
Ministry (South Africa),Consult,Government (South Africa)
Military (Lebanon),"Arrest, detain, or charge with legal action",Attacker (Lebanon)
Member of the Judiciary (Tanzania),Ease administrative sanctions,Citizen (Tanzania)
Military Personnel (Thailand),Cooperate militarily,Military (Thailand)
Tajikistan,Consult,Defense / Security Ministry (China)
U.S. Special Operations Command Central,Consult,Tajikistan
Human Rights Watch,Make statement,Sudan
Nicos Anastasiades,Engage in negotiation,Antonis Samaras
Barack Obama,Reduce or break diplomatic relations,Canada
Evangelos Venizelos,Meet at a 'third' location,Foreign Affairs (Israel)
Hamas,Accuse,Israeli Defense Forces
Citizen (India),Appeal for change in leadership,Bhupinder Singh Hooda
Media Personnel (Pakistan),Criticize or denounce,Pakistan Tehreek-e-Insaf
Angola,Sign formal agreement,Cabinet / Council of Ministers / Advisors (Angola)
Tanzania,Praise or endorse,Barack Obama
Head of Government (Nigeria),Appeal for material cooperation,Government (Nigeria)
Raúl Castro,Consult,Foreign Affairs (Panama)
Head of Government (Afghanistan),Consult,John Kerry
House of Representatives (Jordan),Praise or endorse,Police (Jordan)
Citizen (India),Demand,Pilgrim (India)
Mamnoon Hussain,Consult,Enver Hoxhaj
Amit Shah,Express intent to meet or negotiate,Head of Government (India)
Undersecretary (United Arab Emirates),Consult,Government (United Arab Emirates)
Sergey Viktorovich Lavrov,Engage in negotiation,Nasser Judeh
Mogoeng Thomas Reetsang Mogoeng,Make a visit,The Hague
Criminal (Brazil),Criticize or denounce,Citizen (Brazil)
Nonaligned Movement,Express intent to meet or negotiate,Iran
Ethiopia,Use conventional military force,Citizen (Kenya)
Human Rights Watch,Appeal for policy change,United Arab Emirates
Xi Jinping,Express intent to engage in diplomatic cooperation (such as policy support),New Zealand
María Ángela Holguín,Host a visit,Joseph Robinette Biden
Foreign Affairs (South Korea),Consult,China
Citizen (India),Criticize or denounce,Oommen Chandy
Government (Nigeria),Make an appeal or request,Member of Legislative (Govt) (Nigeria)
Criminal (United Arab Emirates),Use unconventional violence,United Arab Emirates
Police (Kenya),Provide aid,Citizen (Kenya)
Citizen (India),Demand,Media (India)
Cabinet / Council of Ministers / Advisors (United States),Praise or endorse,South Sudan
International Monetary Fund,Make statement,Iran
Main Opposition (Turkey),"Reject plan, agreement to settle dispute",Justice and Development Party
Head of Government (Brazil),Consult,Joseph Robinette Biden
Head of Government (Tajikistan),Host a visit,Gurbanguly Berdymukhammedov
Citizen (Kenya),Demonstrate or rally,Government (Kenya)
European Central Bank,Demand,France
John Kerry,Make an appeal or request,Government (Venezuela)
Nicola Sturgeon,Make an appeal or request,Citizen (United Kingdom)
Military (South Sudan),Use conventional military force,Riek Machar
Lawmaker (Russia),Make an appeal or request,Dmitry Anatolyevich Medvedev
Antonis Samaras,Expel or deport individuals,Lawmaker (Greece)
Barack Obama,Retreat or surrender militarily,Afghanistan
Indigenous People (Kenya),Make statement,Police (Kenya)
Barack Obama,Make a visit,Angola
Business (Bangladesh),Use conventional military force,Citizen (Bangladesh)
Iran,Host a visit,François Hollande
Malawi Electoral Commission,Make an appeal or request,Police (Malawi)
Abu Sayyaf,Make an appeal or request,Philippines
North Atlantic Treaty Organization,Make statement,Jens Stoltenberg
Arseniy Yatsenyuk,Reject,Yulia Tymoshenko
Ministry (Iran),Demonstrate military or police power,Iran
Foreign Affairs (South Korea),Express intent to cooperate,Fumio Kishida
Bangladesh Nationalist Party,Assassinate,Citizen (Bangladesh)
Luiz Inacio Lula Da Silva,Appeal for diplomatic cooperation (such as policy support),Citizen (Brazil)
Citizen (Thailand),Demand,National Council for Peace and Order of Thailand
Bukola Saraki,Appeal to others to meet or negotiate,Citizen (Nigeria)
