head,relation,tail,time
Tea Banh,Make a visit,Thailand,2014-09-01
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-09-02
China,Consult,South Korea,2014-04-17
Police (Australia),Reject,Citizen (Australia),2014-06-17
Court Judge (India),Make an appeal or request,Citizen (India),2014-07-06
Abdullah Abdullah,Expel or withdraw peacekeepers,Election Commission (Afghanistan),2014-06-23
South Korea,Meet at a 'third' location,Japan,2014-03-27
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-01-19
Iran,Host a visit,Haider Al-Abadi,2014-10-24
John Kerry,Discuss by telephone,Benjamin Netanyahu,2014-07-23
Ministry (Russia),Provide humanitarian aid,Serbia,2014-05-22
Sheikh Hasina Wajed,Make a visit,Japan,2014-05-28
John Kerry,Make statement,UN Security Council,2014-09-20
Mulatu Teshome,Consult,Foreign Affairs (Yemen),2014-12-05
Military Personnel (Kenya),Appeal for diplomatic cooperation (such as policy support),Citizen (Kenya),2014-07-23
Benjamin Netanyahu,Accuse,Hamas,2014-07-02
Mohammad Javad Zarif,Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (United States),2014-11-23
Vladimir Drobnjak,Reject,Serbia,2014-12-10
Police (Australia),"Arrest, detain, or charge with legal action",Criminal (Australia),2014-08-21
Citizen (Australia),Threaten,Police (Australia),2014-02-26
Chibuike Rotimi Amaechi,Accuse,Government (Nigeria),2014-08-13
Other Authorities / Officials (Turkey),"Arrest, detain, or charge with legal action",Citizen (Turkey),2014-12-15
South Africa,Engage in negotiation,Iran,2014-06-18
Sierra Leone,Make statement,Government (Sierra Leone),2014-07-21
UN Security Council,Criticize or denounce,Hamas,2014-07-13
Armed Gang (Lebanon),"Abduct, hijack, or take hostage",Military (Lebanon),2014-10-26
UN Security Council,Provide military protection or peacekeeping,South Sudan,2014-11-26
Lawmaker (Ukraine),Praise or endorse,Yulia Tymoshenko,2014-02-23
Citizen (Nigeria),Appeal for economic aid,Member of the Judiciary (Nigeria),2014-12-08
Iran,Provide military aid,Iraq,2014-06-11
Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-01-25
Vladimir Drobnjak,Deny responsibility,Serbia,2014-12-10
Police (Indonesia),Provide humanitarian aid,Citizen (Indonesia),2014-07-06
Riek Machar,Consult,Uhuru Muigai Kenyatta,2014-05-29
Hamas,Make a visit,Iran,2014-12-17
Iraq,Engage in negotiation,Mohammad Javad Zarif,2014-08-24
François Hollande,Make statement,France,2014-12-06
Armed Rebel (Somalia),Acknowledge or claim responsibility,Djibouti,2014-05-27
Hamad bin Ali al-Attiyah,Consult,Chuck Hagel,2014-07-14
Sergey Viktorovich Lavrov,Threaten,John Kerry,2014-03-07
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-03-05
Police (Australia),Make an appeal or request,Citizen (Australia),2014-07-21
Head of Government (Nigeria),Appeal for military aid,Education (Nigeria),2014-06-23
Election Commission (India),Express intent to provide humanitarian aid,Citizen (India),2014-04-21
Police (Israel),Use conventional military force,Moataz Hejazi,2014-11-04
Guenther Oettinger,Consult,Dragomir Stoynev,2014-04-24
Angela Merkel,Host a visit,John Kerry,2014-01-31
Court Judge (India),Appeal for economic aid,Citizen (India),2014-10-10
South Korea,Ease administrative sanctions,Military Personnel (South Korea),2014-11-11
Militant (Yemen),fight with small arms and light weapons,Governor (Yemen),2014-04-19
Japan,"Ease economic sanctions, boycott, embargo",North Korea,2014-07-16
Nuri al-Maliki,Make a visit,Iran,2014-11-11
Citizen (Nigeria),Appeal for intelligence,Government (Nigeria),2014-04-07
Militant (Iraq),Use unconventional violence,Iraq,2014-06-12
Court Judge (Namibia),Refuse to release persons or property,Citizen (Namibia),2014-10-30
North Korea,Host a visit,South Korea,2014-09-05
Catherine Ashton,Express intent to meet or negotiate,Mohammad Javad Zarif,2014-03-08
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-03-13
Fumio Kishida,Express intent to cooperate,Foreign Affairs (South Korea),2014-08-28
China,Criticize or denounce,Vietnam,2014-06-09
China,Make statement,Malaysia,2014-03-12
Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-09-16
France,Host a visit,Abdel Fattah Al-Sisi,2014-11-27
Mohammad Javad Zarif,Engage in negotiation,Japan,2014-03-01
Barack Obama,Express intent to meet or negotiate,Japan,2014-02-15
Abdelilah Benkirane,Praise or endorse,Head of Government (Chad),2014-10-23
Protester (Hong Kong),Demonstrate or rally,Police (Hong Kong),2014-06-14
Iran,Praise or endorse,China,2014-11-17
Iraq,Engage in diplomatic cooperation,Iran,2014-11-19
Protester (Ukraine),Demonstrate or rally,Police (Ukraine),2014-01-26
High Ranking Military Personnel (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-10-30
Militant (Nigeria),Use unconventional violence,Citizen (Nigeria),2014-06-04
Abdullah Abdullah,Express intent to meet or negotiate,Ashraf Ghani Ahmadzai,2014-07-14
Mohammad Javad Zarif,Make optimistic comment,Iran,2014-02-23
Victor Ponta,Discuss by telephone,Klaus Johannis,2014-11-16
Iran,Make a visit,Oman,2014-11-09
Shamshad Akhtar,Praise or endorse,China,2014-06-09
South Korea,Host a visit,John Kerry,2014-02-13
China,Express intent to cooperate,Vietnam,2014-06-18
Jonah David Jang,Make an appeal or request,Citizen (Nigeria),2014-05-29
Police (Kenya),Investigate,Citizen (Kenya),2014-06-09
China,Deny responsibility,Malaysia,2014-05-30
Abdullah Abdullah,Accuse,Election Commission (Afghanistan),2014-06-21
Xi Jinping,Appeal for diplomatic cooperation (such as policy support),China,2014-04-02
Xi Jinping,Make a visit,Fiji,2014-11-22
Boko Haram,fight with small arms and light weapons,Citizen (Nigeria),2014-11-24
Benjamin Netanyahu,Consult,Angela Merkel,2014-02-25
Military (South Sudan),Occupy territory,South Sudan,2014-02-02
Angela Merkel,Consult,Barack Obama,2014-05-02
Citizen (Nigeria),Praise or endorse,Government (Nigeria),2014-05-28
South Korea,Express intent to meet or negotiate,North Korea,2014-01-27
Protester (Thailand),"Defy norms, law",Military (Thailand),2014-05-23
John Kerry,Make statement,North Atlantic Treaty Organization,2014-04-29
Philippines,Sign formal agreement,Barack Obama,2014-05-05
Businessperson (France),Engage in diplomatic cooperation,Iran,2014-02-06
Military (Lebanon),Use conventional military force,Armed Gang (Lebanon),2014-10-26
Terrorist (Boko Haram),"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-12-19
John Kerry,Consult,Presidential Candidate (Afghanistan),2014-08-08
Prayuth Chan-ocha,Make a visit,Japan,2014-09-12
Børge Brende,Consult,Sergey Viktorovich Lavrov,2014-01-20
Kazakhstan,Make an appeal or request,Iran,2014-06-03
Cabinet / Council of Ministers / Advisors (United States),Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-05-03
Police (Hong Kong),Make an appeal or request,Protester (Hong Kong),2014-10-13
Iran,Mobilize or increase armed forces,Iraq,2014-06-12
Vesna Pusić,Make statement,Serbia,2014-02-25
Police (Hong Kong),Make statement,Protester (Hong Kong),2014-11-06
Head of Government (China),Consult,Mahinda Rajapaksa,2014-09-16
North Korea,Express intent to cooperate,South Korea,2014-02-17
Protester (Belgium),Consult,Police (Belgium),2014-04-04
Court Judge (Nigeria),Demand,Citizen (Nigeria),2014-01-14
Josh Earnest,Praise or endorse,North Korea,2014-10-21
Barack Obama,Host a visit,Angela Merkel,2014-05-05
China,Express intent to engage in diplomatic cooperation (such as policy support),Myanmar,2014-04-11
Akitaka Saiki,Engage in negotiation,Cho Tai-young,2014-10-01
Benjamin Netanyahu,Make a visit,Barack Obama,2014-03-03
Ali Al-Za'tari,Criticize or denounce,Umar al Bashir,2014-12-26
Xi Jinping,Make an appeal or request,Milos Zeman,2014-08-28
Police (Australia),Accuse,Citizen (Australia),2014-01-08
Staffan de Mistura,Express intent to meet or negotiate,UN Security Council,2014-07-16
Sheikh Hasina Wajed,Make an appeal or request,Member of Parliament (Bangladesh),2014-01-29
Police (Ukraine),Engage in negotiation,Protester (Ukraine),2014-01-24
John Kerry,Make statement,Haider Al-Abadi,2014-09-11
Raúl Castro,Consult,Barack Obama,2014-12-17
Haider Al-Abadi,Consult,François Hollande,2014-09-12
Iraq,Engage in diplomatic cooperation,Iran,2014-12-09
Head of Government (India),Praise or endorse,Employee (India),2014-12-01
Military (Thailand),Mobilize or increase armed forces,Thailand,2014-06-02
Ministry (South Africa),Consult,Government (South Africa),2014-11-17
William Ruto,Make a visit,The Hague,2014-01-06
Police (Australia),Make an appeal or request,Citizen (Australia),2014-06-03
Military Personnel (Thailand),Cooperate militarily,Military (Thailand),2014-06-02
South Korea,Engage in negotiation,China,2014-11-06
Tajikistan,Consult,Defense / Security Ministry (China),2014-03-31
Mohammad Javad Zarif,Consult,Catherine Ashton,2014-09-14
U.S. Special Operations Command Central,Consult,Tajikistan,2014-04-04
Cabinet / Council of Ministers / Advisors (United States),Discuss by telephone,Sergey Viktorovich Lavrov,2014-12-15
Police (Libya),Criticize or denounce,Legislature (Libya),2014-11-06
Japan,Engage in negotiation,China,2014-09-19
Barack Obama,Reduce or break diplomatic relations,Canada,2014-10-23
Evangelos Venizelos,Meet at a 'third' location,Foreign Affairs (Israel),2014-09-28
Head of Government (Afghanistan),Consult,John Kerry,2014-07-11
Ashraf Ghani Ahmadzai,Make statement,Abdullah Abdullah,2014-08-09
Mamnoon Hussain,Consult,Enver Hoxhaj,2014-03-10
Boko Haram,fight with small arms and light weapons,Citizen (Nigeria),2014-12-22
Foreign Affairs (South Africa),Engage in diplomatic cooperation,Iran,2014-09-11
Court Judge (India),"Return, release person(s)",Citizen (India),2014-11-13
Mohammad Javad Zarif,Make statement,Iran,2014-08-06
Justice Department/Ministery (Pakistan),Make statement,Special Court (Pakistan),2014-02-13
Tahirul Qadri,Demonstrate or rally,Government (Pakistan),2014-08-20
China,Express intent to meet or negotiate,South Africa,2014-07-13
Iraq,Engage in diplomatic cooperation,Iran,2014-12-08
North Korea,Reject,South Korea,2014-01-14
Xi Jinping,Express intent to engage in diplomatic cooperation (such as policy support),New Zealand,2014-11-19
Citizen (India),Criticize or denounce,Oommen Chandy,2014-03-21
Barack Obama,Make a visit,Japan,2014-04-23
Police (Belgium),Use conventional military force,Citizen (Belgium),2014-11-07
Japan,Sign formal agreement,North Korea,2014-07-01
Police (Kenya),Provide aid,Citizen (Kenya),2014-11-27
Reuven Rivlin,Discuss by telephone,Head of Government (Brazil),2014-08-13
Court Judge (India),Reject,Citizen (India),2014-09-20
Islamic Preacher (Iran),Consult,Iran,2014-05-10
Main Opposition (Turkey),"Reject plan, agreement to settle dispute",Justice and Development Party,2014-01-17
Head of Government (Tajikistan),Host a visit,Gurbanguly Berdymukhammedov,2014-05-05
Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,Sergey Viktorovich Lavrov,2014-12-15
John Kerry,Make an appeal or request,Government (Venezuela),2014-02-23
Boko Haram,fight with small arms and light weapons,Citizen (Nigeria),2014-06-16
Thief (India),Use unconventional violence,Citizen (India),2014-09-19
France,Host a visit,Abdel Fattah Al-Sisi,2014-11-26
Barack Obama,Retreat or surrender militarily,Afghanistan,2014-05-29
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-05-31
Governor (India),Engage in symbolic act,Citizen (India),2014-10-02
Japan,Consult,Iran,2014-03-05
Barack Obama,Host a visit,François Hollande,2014-02-12
Nabih Berri,Praise or endorse,Iran,2014-03-01
China,Consult,Iran,2014-09-25
Foreign Affairs (South Korea),Express intent to cooperate,Fumio Kishida,2014-08-28
Luiz Inacio Lula Da Silva,Appeal for diplomatic cooperation (such as policy support),Citizen (Brazil),2014-08-19
China,Accuse,Vietnam,2014-05-27
Bukola Saraki,Appeal to others to meet or negotiate,Citizen (Nigeria),2014-05-29
Abdel Fattah Al-Sisi,Consult,Nicos Anastasiades,2014-11-07
Chuck Hagel,Make a visit,Myanmar,2014-11-04
China,Host a visit,Vietnam,2014-08-25
Head of Government (Egypt),Express intent to cooperate,Umar al Bashir,2014-10-19
Police (Canada),Impose administrative sanctions,Canada,2014-10-22
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-04-10
Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-11-07
Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-12-03
Citizen (Kenya),Appeal for intelligence,Government (Kenya),2014-12-05
Japan,Consult,South Korea,2014-10-11
Barack Obama,Make a visit,Malaysia,2014-02-12
Media Personnel (China),Make pessimistic comment,Media Personnel (International),2014-01-31
Barack Obama,Consult,Arseniy Yatsenyuk,2014-03-13
North Korea,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2014-10-03
Police (Yemen),Use conventional military force,Citizen (Yemen),2014-09-09
North Korea,Consult,Japan,2014-09-29
Military (Thailand),Use conventional military force,Thailand,2014-05-29
Sylvia Masebo,Consult,Michael Sata,2014-03-07
Barack Obama,Make a visit,Japan,2014-04-06
Police (Kenya),"Arrest, detain, or charge with legal action",Citizen (Kenya),2014-04-03
Government (Kenya),Expel or deport individuals,Citizen (Kenya),2014-06-05
Representatives (Afghanistan),Praise or endorse,Ashraf Ghani Ahmadzai,2014-05-27
Hamas,Criticize or denounce,"Head of Government (Palestinian Territory, Occupied)",2014-12-01
Military (Thailand),Impose state of emergency or martial law,Thailand,2014-05-26
Hashim Thaçi,Praise or endorse,North Atlantic Treaty Organization,2014-04-08
Japan,"Express intent to ease economic sanctions, boycott, or embargo",North Korea,2014-05-29
Armenia,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2014-05-08
China,Engage in negotiation,Kazakhstan,2014-03-19
Mohammad Javad Zarif,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-01-16
Government Coalition (Zanzibar),Criticize or denounce,North Atlantic Treaty Organization,2014-05-16
Akhilesh Yadav,Criticize or denounce,Media (India),2014-01-11
Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014-02-14
Nuri al-Maliki,Consult,Sergey Viktorovich Lavrov,2014-02-20
China,Consult,South Korea,2014-09-11
Police (Australia),Provide humanitarian aid,Citizen (Australia),2014-10-13
Combatant (Yemen),Sign formal agreement,Armed Rebel (Yemen),2014-09-19
Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-12-08
Barack Obama,Host a visit,Arseniy Yatsenyuk,2014-03-13
Myanmar,Express intent to cooperate,Thailand,2014-10-09
Niger,Express intent to cooperate,Cameroon,2014-05-19
Civic Group (Afghanistan),Make optimistic comment,Ashraf Ghani Ahmadzai,2014-10-16
Joseph Robinette Biden,Make statement,Guatemala,2014-06-20
Raúl Castro,Sign formal agreement,Barack Obama,2014-12-17
Citizen (Venezuela),Use unconventional violence,Government (Venezuela),2014-02-28
Barack Obama,Express intent to meet or negotiate,Poland,2014-06-03
José Miguel Vivanco,Reject,Miguel Ángel Osorio Chong,2014-01-21
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-05-06
Citizen (Nigeria),Reject,Boko Haram,2014-05-13
Prayuth Chan-ocha,Make a visit,Military (Thailand),2014-05-22
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Oman,2014-04-22
Abdullah Abdullah,Make an appeal or request,Iran,2014-10-27
Japan,Praise or endorse,China,2014-11-10
Barack Obama,Make a visit,China,2014-11-11
Governor (Niger),Criticize or denounce,Citizen (Nigeria),2014-07-29
Member of Parliament (Iran),Criticize or denounce,Mohammad Javad Zarif,2014-02-04
Catherine Ashton,Make a visit,Serbia,2014-04-28
Frank Bainimarama,Meet at a 'third' location,Kamalesh Sharma,2014-09-29
Muhammadu Buhari,Appeal for diplomatic cooperation (such as policy support),Head of Government (Nigeria),2014-06-10
China,Make an appeal or request,Vietnam,2014-05-15
Japan,Make statement,China,2014-11-17
North Korea,Criticize or denounce,South Korea,2014-06-29
China,Praise or endorse,Iraq,2014-08-08
Citizen (India),Express intent to meet or negotiate,Medical Personnel (India),2014-11-27
Barack Obama,Express intent to meet or negotiate,South Korea,2014-04-25
Protester (Hong Kong),"Defy norms, law",Other Authorities / Officials (Hong Kong),2014-10-01
Head of Government (India),Host a visit,Royal Administration (Saudi Arabia),2014-02-28
John Kerry,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-01-14
China,Engage in negotiation,Japan,2014-09-25
Indigenous People (Nigeria),Express intent to accept mediation,Government (Nigeria),2014-10-20
François Hollande,Make a visit,Iraq,2014-09-19
Abu Sayyaf,"Return, release person(s)",Employee (Philippines),2014-06-13
Citizen (Nigeria),Express intent to engage in diplomatic cooperation (such as policy support),Muhammadu Buhari,2014-12-24
Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-09-19
Ministry (Nigeria),Make statement,Oluṣẹgun Ọbasanjọ,2014-12-30
Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-03-24
Citizen (Kenya),Use unconventional violence,Police (Kenya),2014-05-13
Canada,Engage in negotiation,France,2014-06-06
Court Judge (India),Reject,Citizen (India),2014-07-14
Member of the Judiciary (Nigeria),Ease administrative sanctions,Citizen (Nigeria),2014-09-29
Xi Jinping,Make an appeal or request,Sergey Viktorovich Lavrov,2014-04-15
Umar al Bashir,Engage in negotiation,Head of Government (Egypt),2014-10-19
Police (Australia),Investigate,Citizen (Australia),2014-01-13
North Korea,Criticize or denounce,South Korea,2014-03-26
Protester (Ukraine),Consult,Yulia Tymoshenko,2014-02-23
Prayuth Chan-ocha,Make statement,Military (Thailand),2014-05-23
Iran,Sign formal agreement,China,2014-12-28
Serbia,Sign formal agreement,International Monetary Fund,2014-11-20
Citizen (Saudi Arabia),Make an appeal or request,Mohammad Javad Zarif,2014-05-28
Catherine Ashton,Engage in negotiation,John Kerry,2014-11-22
Xi Jinping,Consult,Angela Merkel,2014-03-28
Iran,Express intent to provide military aid,Iraq,2014-12-03
Nuri al-Maliki,Praise or endorse,Sergey Viktorovich Lavrov,2014-02-26
Protester (Hong Kong),"Protest violently, riot",Police (Hong Kong),2014-09-28
John Kerry,Consult,Benjamin Netanyahu,2014-03-20
Japan,Make a visit,China,2014-12-04
China,Deny responsibility,Vietnam,2014-05-30
Abdullah Abdullah,Express intent to cooperate,Ashraf Ghani Ahmadzai,2014-07-16
South Korea,Express intent to meet or negotiate,China,2014-09-06
South Korea,Praise or endorse,North Korea,2014-10-22
Japan,Deny responsibility,Xi Jinping,2014-07-04
Barack Obama,Make statement,Philippines,2014-04-28
Tajikistan,Meet at a 'third' location,Iran,2014-03-29
Japan,Consult,South Korea,2014-04-16
Lawyer/Attorney (United States),Accuse,Daniel Barrera Barrera,2014-11-20
Congress (United States),Praise or endorse,Head of Government (Ukraine),2014-09-18
Election Commission (Afghanistan),Make statement,Presidential Candidate (Afghanistan),2014-06-18
Thaksin Shinawatra,Demand change in leadership,Citizen (Thailand),2014-03-31
South Korea,Reject,North Korea,2014-01-24
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-11-22
Police (Australia),Investigate,Citizen (Australia),2014-12-18
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-05-12
Mohammad Javad Zarif,Consult,John Kerry,2014-09-26
China,Make a visit,Angola,2014-05-10
Boko Haram,Use conventional military force,Education (Nigeria),2014-04-18
Japan,Express intent to engage in diplomatic cooperation (such as policy support),Association of Southeast Asian Nations,2014-11-12
Iraq,Engage in diplomatic cooperation,Iran,2014-05-18
South Korea,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-11-07
Chuck Hagel,Make a visit,Iraq,2014-12-09
North Korea,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2014-01-24
Ethiopia,Host a visit,Sudan,2014-12-25
Military (Lebanon),Investigate,Armed Gang (Lebanon),2014-08-07
Catherine Ashton,Express intent to meet or negotiate,Iran,2014-03-12
Barack Obama,Make a visit,Mexico,2014-02-19
South Korea,Consult,China,2014-07-02
Japan,"Express intent to ease economic sanctions, boycott, or embargo",North Korea,2014-07-16
François Hollande,Make a visit,Armenia,2014-10-23
Catherine Ashton,Express intent to meet or negotiate,John Kerry,2014-11-02
Vietnam,Host a visit,Mekong River Commission,2014-04-05
Xi Jinping,Engage in negotiation,Barack Obama,2014-11-14
Chuck Hagel,Discuss by telephone,Sergey Kuzhugetovich Shoygu,2014-04-28
House of Representatives (Japan),Consult,Ma Ying Jeou,2014-07-01
Iran,Host a visit,Simon Gass,2014-05-01
Uhuru Muigai Kenyatta,Express intent to meet or negotiate,The Hague,2014-10-06
Fumio Kishida,Make a visit,Vietnam,2014-08-01
Isao Iijima,Criticize or denounce,Citizen (North Korea),2014-03-17
Xi Jinping,Make statement,China,2014-11-11
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2014-06-15
Boko Haram,Use conventional military force,Citizen (Nigeria),2014-07-15
Presidential Candidate (Indonesia),Make optimistic comment,Police (Indonesia),2014-07-05
Umar al Bashir,Consult,Head of Government (Egypt),2014-10-19
Member of Parliament (Kyrgyzstan),Appeal for diplomatic cooperation (such as policy support),Ministry (Kyrgyzstan),2014-10-01
Catherine Ashton,Engage in negotiation,Iran,2014-03-13
Police (Australia),Make an appeal or request,Citizen (Australia),2014-12-15
Member of Parliament (Iran),Make statement,Iran,2014-11-23
Abu Sayyaf,"Return, release person(s)",Citizen (Germany),2014-10-17
UN Security Council,Make a visit,South Sudan,2014-08-15
Protester (Thailand),Demonstrate or rally,Thailand,2014-01-28
Klaus Johannis,Make an appeal or request,Victor Ponta,2014-11-04
Simon Gass,Consult,Foreign Affairs (Russia),2014-07-19
John Kerry,Make statement,South Sudan,2014-05-02
John Kerry,Consult,Haider Al-Abadi,2014-09-11
Lawmaker (Japan),Demand,Japan,2014-10-09
South Korea,Consult,North Korea,2014-10-08
Sheikh Hasina Wajed,Make an appeal or request,Member of Parliament (Bangladesh),2014-01-09
Protester (Ethiopia),Demonstrate or rally,Police (Ethiopia),2014-07-21
Bahrain,Engage in diplomatic cooperation,Qatar,2014-11-25
Barack Obama,Make statement,Iraq,2014-08-09
Police (Australia),Consult,Criminal (Australia),2014-09-24
Afghanistan,Make statement,Ashraf Ghani Ahmadzai,2014-09-29
Police (South Africa),Make statement,South Africa,2014-05-07
Lawmaker (Argentina),Make statement,Lawyer/Attorney (Argentina),2014-12-09
Barack Obama,Express intent to meet or negotiate,China,2014-10-04
Hemant Soren,Criticize or denounce,Citizen (India),2014-08-21
John Kerry,Consult,Abdullah Abdullah,2014-07-11
Dmitry Anatolyevich Medvedev,Engage in negotiation,Other Authorities / Officials (Russia),2014-09-01
China,Express intent to engage in diplomatic cooperation (such as policy support),Afghanistan,2014-10-28
China,Consult,South Africa,2014-07-15
John Kerry,Express intent to engage in diplomatic cooperation (such as policy support),Sergey Viktorovich Lavrov,2014-01-07
Sergey Viktorovich Lavrov,Meet at a 'third' location,John Kerry,2014-03-05
Benjamin Netanyahu,Discuss by telephone,John Kerry,2014-11-18
Head of Government (Ukraine),Provide aid,Protester (Ukraine),2014-02-21
Barack Obama,Make a visit,Philippines,2014-02-12
North Korea,Host a visit,Japan,2014-07-11
Citizen (Nigeria),Praise or endorse,Government (Nigeria),2014-08-19
Ashraf Ghani Ahmadzai,Express intent to cooperate,Abdullah Abdullah,2014-07-16
Salvador Sánchez Cerén,Consult,Joseph Robinette Biden,2014-07-25
Marziyeh Afkham,Reject,Angela Merkel,2014-02-26
France,Employ aerial weapons,Iraq,2014-09-24
China,Reduce relations,Japan,2014-04-24
Court Judge (India),Reject,Citizen (India),2014-12-08
Chuck Hagel,Make a visit,Japan,2014-04-05
Benjamin Netanyahu,Yield,Hamas,2014-08-20
Uhuru Muigai Kenyatta,Appeal for diplomatic cooperation (such as policy support),Citizen (Kenya),2014-06-10
Ashraf Ghani Ahmadzai,Sign formal agreement,Abdullah Abdullah,2014-07-13
Lawyer/Attorney (Australia),Investigate,Citizen (Australia),2014-02-06
China,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2014-02-23
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-02-27
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-01-10
Armed Rebel (Syria),Sign formal agreement,Government (Syria),2014-05-03
Iran,Praise or endorse,Iraq,2014-12-25
Ashraf Ghani Ahmadzai,Express intent to meet or negotiate,North Atlantic Treaty Organization,2014-11-30
Jackson Mandago,Criticize or denounce,Citizen (Kenya),2014-08-06
Jyrki Katainen,Reduce relations,National Coalition Party,2014-04-06
Government (Angola),Sign formal agreement,High Commission for Refugees,2014-09-30
Mohammad Javad Zarif,Make statement,Iran,2014-12-02
Nabih Berri,"Impose embargo, boycott, or sanctions",Legislature (Lebanon),2014-06-05
Royal Administration (Argentina),Host a visit,Xi Jinping,2014-03-23
Catherine Ashton,Meet at a 'third' location,Mohammad Javad Zarif,2014-10-15
North Korea,Express intent to meet or negotiate,Japan,2014-03-21
Mohammad Javad Zarif,Demand diplomatic cooperation (such as policy support),Iran,2014-08-20
South Korea,Make pessimistic comment,North Korea,2014-01-05
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-12-13
Lawmaker (Lebanon),"Threaten with political dissent, protest",Legislature (Lebanon),2014-05-15
Kim Jong-Un,Praise or endorse,Xi Jinping,2014-10-01
Abdel Fattah Al-Sisi,Make optimistic comment,Other Authorities / Officials (Egypt),2014-06-24
Le Hong Anh,Make a visit,China,2014-08-26
John Kerry,Appeal for economic aid,North Atlantic Treaty Organization,2014-04-29
Nigerian Bar Association,Make statement,Okey Wali,2014-10-13
John Kerry,Make a visit,Afghanistan,2014-07-10
China,Reject,Vietnam,2014-05-23
Iran,Host a visit,Nuri al-Maliki,2014-11-10
China,Make optimistic comment,Japan,2014-11-10
Department of the Treasury,Accuse,Aung Thaung,2014-10-31
William Ruto,Engage in negotiation,Businessperson (Kenya),2014-06-24
Court Judge (India),"Arrest, detain, or charge with legal action",Men (India),2014-04-06
Xi Jinping,Criticize or denounce,China,2014-07-05
Benjamin Netanyahu,Discuss by telephone,John Kerry,2014-03-19
Party Member (Afghanistan),Consult,John Kerry,2014-07-11
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2014-06-27
Joshua Wong,Make statement,Protester (Hong Kong),2014-12-08
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-10-09
Protester (Pakistan),Demonstrate or rally,Head of Government (Pakistan),2014-08-16
Angela Merkel,Express intent to cooperate,Barack Obama,2014-03-02
Afghanistan,Praise or endorse,Ashraf Ghani Ahmadzai,2014-09-29
Boko Haram,Threaten,Citizen (Nigeria),2014-05-07
South Korea,Express intent to cooperate on intelligence,Japan,2014-12-26
South Korea,Criticize or denounce,Military Personnel (South Korea),2014-11-12
Angela Merkel,Express intent to meet or negotiate,Barack Obama,2014-05-01
France,Consult,Iran,2014-11-18
Citizen (India),Criticize or denounce,Thief (India),2014-11-27
Head of Government (Nigeria),Make an appeal or request,Government (Nigeria),2014-11-28
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-04-08
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-11-15
Vietnam,Make a visit,Reuven Rivlin,2014-11-09
Wael al-Halki,Make a visit,Iran,2014-12-18
France,Make a visit,Iran,2014-02-06
China,Engage in negotiation,South Korea,2014-08-20
François Hollande,Express intent to meet or negotiate,Armenia,2014-10-23
Chen Deming,Sign formal agreement,Straits Exchange Foundation,2014-02-27
China,Make an appeal or request,Vietnam,2014-05-16
China,Praise or endorse,Barack Obama,2014-10-19
Court Judge (India),"Arrest, detain, or charge with legal action",Citizen (India),2014-10-20
Foreign Affairs (Kuwait),Appeal for diplomatic cooperation (such as policy support),Kuwait,2014-11-25
Morocco,Reduce relations,France,2014-02-27
Citizen (Australia),Physically assault,Police (Australia),2014-09-25
China,Threaten,Japan,2014-03-05
