head,relation,tail,time
Mohammad Javad Zarif,Praise or endorse,Oman,2014-11-09
Oman,Host a visit,Catherine Ashton,2014-11-09
Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-11-09
John Kerry,Consult,Mohammad Javad Zarif,2014-11-09
Barack Obama,Express intent to provide military aid,Iraq,2014-11-09
Thailand,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-11-09
Barack Obama,Express intent to meet or negotiate,China,2014-11-09
Barack Obama,Make a visit,China,2014-11-09
China,Express intent to cooperate economically,South Korea,2014-11-09
China,Praise or endorse,Thailand,2014-11-09
China,Host a visit,Barack Obama,2014-11-09
Cabinet / Council of Ministers / Advisors (United States),Meet at a 'third' location,Mohammad Javad Zarif,2014-11-09
Tony Tan Keng Yam,Make a visit,China,2014-11-09
Vietnam,Engage in symbolic act,Reuven Rivlin,2014-11-09
China,Engage in negotiation,South Korea,2014-11-09
Mohammad Javad Zarif,Engage in negotiation,Catherine Ashton,2014-11-09
Nuri al-Maliki,Make a visit,Iran,2014-11-09
Envoy (United States),Make a visit,North Korea,2014-11-09
Mohammad Javad Zarif,Meet at a 'third' location,Cabinet / Council of Ministers / Advisors (United States),2014-11-09
South Korea,Engage in negotiation,China,2014-11-09
Iran,Host a visit,Nuri al-Maliki,2014-11-09
China,Host a visit,Milos Zeman,2014-11-09
Mohammad Javad Zarif,Make a visit,Oman,2014-11-09
Catherine Ashton,Consult,Mohammad Javad Zarif,2014-11-09
South Korea,Express intent to cooperate,China,2014-11-09
China,Praise or endorse,Protester (Hong Kong),2014-11-09
Barack Obama,Mobilize or increase armed forces,Iraq,2014-11-09
Mohammad Javad Zarif,Meet at a 'third' location,Catherine Ashton,2014-11-09
Oman,Consult,Mohammad Javad Zarif,2014-11-09
Mohammad Javad Zarif,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-11-09
Protester (Hong Kong),Demonstrate or rally,China,2014-11-09
China,Host a visit,Peter O'Neill,2014-11-09
China,Engage in diplomatic cooperation,Canada,2014-11-09
Catherine Ashton,Make a visit,Oman,2014-11-09
China,Host a visit,Japan,2014-11-09
Jens Stoltenberg,Make a visit,Afghanistan,2014-11-09
Vietnam,Make a visit,Reuven Rivlin,2014-11-09
South Korea,Express intent to cooperate economically,China,2014-11-09
Hun Sen,Make a visit,China,2014-11-09
Protester (Hong Kong),"Demand meeting, negotiation",China,2014-11-09
China,Host a visit,Tony Tan Keng Yam,2014-11-09
China,Express intent to cooperate,South Korea,2014-11-09
China,Sign formal agreement,Japan,2014-11-09
Canada,Engage in diplomatic cooperation,China,2014-11-09
Iraq,Receive deployment of peacekeepers,Barack Obama,2014-11-09
Canada,Accuse,China,2014-11-09
China,Sign formal agreement,Japan,2014-11-10
Colombia,Host a visit,Congress (United States),2014-11-10
Xi Jinping,Make a visit,China,2014-11-10
Congress (United States),Make a visit,Colombia,2014-11-10
Government (Nigeria),Demonstrate military or police power,Indigenous People (Nigeria),2014-11-10
Iran,Host a visit,Haider Al-Abadi,2014-11-10
Barack Obama,Make statement,China,2014-11-10
Nuri al-Maliki,Consult,Iran,2014-11-10
China,Express intent to cooperate,Japan,2014-11-10
Oman,Host a visit,Catherine Ashton,2014-11-10
Citizen (Nigeria),Accuse,Government (Nigeria),2014-11-10
Barack Obama,Make pessimistic comment,Iran,2014-11-10
Barack Obama,Make a visit,Xi Jinping,2014-11-10
Citizen (Nigeria),Criticize or denounce,Bukola Saraki,2014-11-10
Xi Jinping,Make an appeal or request,China,2014-11-10
Catherine Ashton,Make a visit,Oman,2014-11-10
China,Praise or endorse,Thailand,2014-11-10
Iran,Praise or endorse,Nuri al-Maliki,2014-11-10
China,Host a visit,Other Authorities / Officials (United States),2014-11-10
Barack Obama,Express intent to meet or negotiate,China,2014-11-10
Bukola Saraki,Express intent to cooperate,Citizen (Nigeria),2014-11-10
"Children (Palestinian Territory, Occupied)",Use unconventional violence,Israeli Defense Forces,2014-11-10
Japan,Express intent to cooperate,China,2014-11-10
China,Consult,Japan,2014-11-10
Qatar,Host a visit,Kuwait,2014-11-10
Thailand,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-11-10
Barack Obama,Make a visit,Myanmar,2014-11-10
China,Host a visit,Barack Obama,2014-11-10
Tsakhiagiyn Elbegdorj,Make a visit,China,2014-11-10
Xi Jinping,Express intent to meet or negotiate,China,2014-11-10
Japan,Engage in negotiation,South Korea,2014-11-10
China,Host a visit,Xi Jinping,2014-11-10
Intelligence Officer (United States),Make a visit,North Korea,2014-11-10
Japan,Consult,China,2014-11-10
Japan,Sign formal agreement,China,2014-11-10
China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2014-11-10
Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-11-10
North Korea,Host a visit,Intelligence Officer (United States),2014-11-10
Other Authorities / Officials (United States),Make a visit,China,2014-11-10
China,Host a visit,Tsakhiagiyn Elbegdorj,2014-11-10
China,Make statement,Xi Jinping,2014-11-10
Japan,Engage in negotiation,China,2014-11-10
Head of Government (China),Make an appeal or request,Japan,2014-11-10
South Korea,Make statement,Japan,2014-11-10
China,Praise or endorse,Barack Obama,2014-11-10
Myanmar,Host a visit,Barack Obama,2014-11-10
Catherine Ashton,Meet at a 'third' location,John Kerry,2014-11-10
Barack Obama,Make an appeal or request,China,2014-11-10
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-11-10
John Kerry,Meet at a 'third' location,Mohammad Javad Zarif,2014-11-10
Kuwait,Make a visit,Qatar,2014-11-10
Citizen (Nigeria),Threaten,Government (Nigeria),2014-11-10
Xi Jinping,Host a visit,Barack Obama,2014-11-10
Israeli Defense Forces,Use conventional military force,"Children (Palestinian Territory, Occupied)",2014-11-10
Xi Jinping,Consult,Barack Obama,2014-11-10
Barack Obama,Express intent to meet or negotiate,Myanmar,2014-11-10
John Kerry,Meet at a 'third' location,Catherine Ashton,2014-11-10
Barack Obama,Praise or endorse,China,2014-11-10
Japan,Praise or endorse,China,2014-11-10
Haider Al-Abadi,Make a visit,Iran,2014-11-10
Iran,Host a visit,Nuri al-Maliki,2014-11-10
China,Make optimistic comment,Japan,2014-11-10
China,Host a visit,Jakaya Mrisho Kikwete,2014-11-10
Barack Obama,Praise or endorse,Iran,2014-11-10
Mohammad Javad Zarif,Consult,John Kerry,2014-11-10
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-11-10
Catherine Ashton,Consult,John Kerry,2014-11-10
Government (Nigeria),Provide aid,Citizen (Nigeria),2014-11-10
John Kerry,Consult,Catherine Ashton,2014-11-10
Indigenous People (Nigeria),Make an appeal or request,Government (Nigeria),2014-11-10
Barack Obama,Express intent to meet or negotiate,Xi Jinping,2014-11-10
Barack Obama,Consult,Xi Jinping,2014-11-10
Iran,Make statement,Barack Obama,2014-11-10
Jakaya Mrisho Kikwete,Make a visit,China,2014-11-10
Evangelos Venizelos,Consult,Antonis Samaras,2014-11-10
Xi Jinping,Express intent to meet or negotiate,Barack Obama,2014-11-10
Japan,Make statement,Head of Government (China),2014-11-10
Victor Ponta,Engage in negotiation,Klaus Johannis,2014-11-11
Iran,Host a visit,Nuri al-Maliki,2014-11-11
Japan,Express intent to cooperate,China,2014-11-11
North Atlantic Treaty Organization,Engage in symbolic act,Ashraf Ghani Ahmadzai,2014-11-11
Kim Jong-Un,Make a visit,Nurse (North Korea),2014-11-11
Myanmar,Make pessimistic comment,Barack Obama,2014-11-11
Barack Obama,Express intent to meet or negotiate,China,2014-11-11
Nuri al-Maliki,Express intent to meet or negotiate,Iran,2014-11-11
North Atlantic Treaty Organization,Consult,Ashraf Ghani Ahmadzai,2014-11-11
Barack Obama,Engage in negotiation,Xi Jinping,2014-11-11
Nurse (North Korea),Host a visit,Kim Jong-Un,2014-11-11
Iraq,Employ aerial weapons,Terrorist (Islamic State of Iraq and the Levant),2014-11-11
Xi Jinping,Make optimistic comment,China,2014-11-11
Xi Jinping,Express intent to meet or negotiate,Barack Obama,2014-11-11
Myanmar,Host a visit,Barack Obama,2014-11-11
Barack Obama,Make pessimistic comment,Myanmar,2014-11-11
China,Host a visit,John Kerry,2014-11-11
John Kerry,Make a visit,Oman,2014-11-11
Head of Government (India),Make an appeal or request,Citizen (India),2014-11-11
Xi Jinping,Make a visit,China,2014-11-11
"Children (Palestinian Territory, Occupied)",Physically assault,Israeli Defense Forces,2014-11-11
Citizen (Australia),Physically assault,Police (Australia),2014-11-11
Terrorist (Islamic State of Iraq and the Levant),Threaten,Iraq,2014-11-11
Ashraf Ghani Ahmadzai,Praise or endorse,North Atlantic Treaty Organization,2014-11-11
Barack Obama,Appeal for diplomatic cooperation (such as policy support),China,2014-11-11
Xi Jinping,Consult,Barack Obama,2014-11-11
John Kerry,Make a visit,China,2014-11-11
Citizen (India),Accuse,Head of Government (India),2014-11-11
Xi Jinping,Make optimistic comment,Barack Obama,2014-11-11
Barack Obama,Express intent to meet or negotiate,Myanmar,2014-11-11
Head of Government (India),Rally opposition against,Citizen (India),2014-11-11
Barack Obama,Express intent to meet or negotiate,Xi Jinping,2014-11-11
John Kerry,Consult,Vincent C. Siew,2014-11-11
Vincent C. Siew,Make statement,John Kerry,2014-11-11
China,Engage in diplomatic cooperation,Japan,2014-11-11
Ashraf Ghani Ahmadzai,Consult,North Atlantic Treaty Organization,2014-11-11
Ashraf Ghani Ahmadzai,Engage in symbolic act,North Atlantic Treaty Organization,2014-11-11
Oman,Make statement,John Kerry,2014-11-11
Israeli Defense Forces,Use conventional military force,"Children (Palestinian Territory, Occupied)",2014-11-11
Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2014-11-11
Barack Obama,Make statement,China,2014-11-11
Barack Obama,Make a visit,Myanmar,2014-11-11
Oman,Host a visit,John Kerry,2014-11-11
Nuri al-Maliki,Make a visit,Iran,2014-11-11
China,Host a visit,Xi Jinping,2014-11-11
Barack Obama,Make a visit,China,2014-11-11
Xi Jinping,Make statement,China,2014-11-11
Klaus Johannis,Make an appeal or request,Victor Ponta,2014-11-11
China,Make optimistic comment,Japan,2014-11-11
China,"Reject proposal to meet, discuss, or negotiate",Japan,2014-11-11
Iran,Praise or endorse,Nuri al-Maliki,2014-11-11
China,Host a visit,Barack Obama,2014-11-11
Court Judge (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-11-12
South Korea,Express intent to cooperate,China,2014-11-12
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-11-12
Catherine Ashton,Make a visit,Oman,2014-11-12
Energy Department/Ministry (Iran),Make a visit,Iraq,2014-11-12
Xi Jinping,Sign formal agreement,Barack Obama,2014-11-12
New Zealand,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-11-12
Iran,Cooperate economically,Iraq,2014-11-12
Xi Jinping,Express intent to settle dispute,Barack Obama,2014-11-12
Xi Jinping,Consult,Barack Obama,2014-11-12
Japan,Sign formal agreement,Association of Southeast Asian Nations,2014-11-12
Head of Government (Afghanistan),Make a visit,China,2014-11-12
Energy Department/Ministry (Iran),Make statement,Iraq,2014-11-12
Vojislav Šešelj,Criticize or denounce,Serbia,2014-11-12
Xi Jinping,Make a visit,Head of Government (New Zealand),2014-11-12
China,Sign formal agreement,Mitch McConnell,2014-11-12
China,Sign formal agreement,New Zealand,2014-11-12
Barack Obama,Express intent to cooperate,Xi Jinping,2014-11-12
Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Xi Jinping,2014-11-12
Serbia,Host a visit,Vojislav Šešelj,2014-11-12
Court Judge (Nigeria),Demand,Citizen (Nigeria),2014-11-12
Oman,Host a visit,Mohammad Javad Zarif,2014-11-12
Citizen (Nigeria),Criticize or denounce,Court Judge (Nigeria),2014-11-12
China,Consult,Japan,2014-11-12
Oman,Host a visit,Catherine Ashton,2014-11-12
Victor Ponta,Make statement,Klaus Johannis,2014-11-12
Barack Obama,Express intent to meet or negotiate,China,2014-11-12
Klaus Johannis,Accuse,Victor Ponta,2014-11-12
John Kerry,Make a visit,United Arab Emirates,2014-11-12
Myanmar,Host a visit,Association of Southeast Asian Nations,2014-11-12
Mohammad Javad Zarif,Make a visit,Oman,2014-11-12
Iran,Engage in diplomatic cooperation,Iraq,2014-11-12
Member of the Judiciary (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014-11-12
South Korea,Praise or endorse,North Korea,2014-11-12
Association of Southeast Asian Nations,Express intent to cooperate,Japan,2014-11-12
Association of Southeast Asian Nations,Make a visit,Myanmar,2014-11-12
China,Sign formal agreement,South Korea,2014-11-12
Head of Government (New Zealand),Host a visit,Xi Jinping,2014-11-12
Citizen (Nigeria),Criticize or denounce,Member of the Judiciary (Nigeria),2014-11-12
Klaus Johannis,Make an appeal or request,Victor Ponta,2014-11-12
Iraq,Host a visit,Iran,2014-11-12
China,Host a visit,Angela Merkel,2014-11-12
Mitch McConnell,Make statement,China,2014-11-12
Barack Obama,Praise or endorse,Xi Jinping,2014-11-12
Iraq,Make an appeal or request,Energy Department/Ministry (Iran),2014-11-12
Barack Obama,Make a visit,China,2014-11-12
Iraq,Host a visit,Energy Department/Ministry (Iran),2014-11-12
Iraq,Engage in diplomatic cooperation,Iran,2014-11-12
Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Association of Southeast Asian Nations,2014-11-12
Barack Obama,Make optimistic comment,China,2014-11-12
Vojislav Šešelj,Make a visit,The Hague,2014-11-12
Police (Australia),Make an appeal or request,Citizen (Australia),2014-11-12
Barack Obama,Consult,Xi Jinping,2014-11-12
China,Praise or endorse,Barack Obama,2014-11-12
Association of Southeast Asian Nations,Meet at a 'third' location,Barack Obama,2014-11-12
The Hague,Host a visit,Vojislav Šešelj,2014-11-12
Ministry (Sri Lanka),Make statement,Mahinda Rajapaksa,2014-11-12
North Korea,Criticize or denounce,South Korea,2014-11-12
United Arab Emirates,Host a visit,John Kerry,2014-11-12
Citizen (Australia),Use unconventional violence,Police (Australia),2014-11-12
Iran,Make statement,Iraq,2014-11-12
China,Host a visit,Head of Government (Afghanistan),2014-11-12
Angela Merkel,Make a visit,China,2014-11-12
Japan,Express intent to engage in diplomatic cooperation (such as policy support),Association of Southeast Asian Nations,2014-11-12
John Kerry,Express intent to meet or negotiate,United Arab Emirates,2014-11-12
Mahinda Rajapaksa,Consult,Ministry (Sri Lanka),2014-11-12
Japan,Express intent to cooperate,China,2014-11-12
Barack Obama,Engage in negotiation,Xi Jinping,2014-11-12
Barack Obama,Express intent to settle dispute,Xi Jinping,2014-11-12
Xi Jinping,Express intent to engage in diplomatic cooperation (such as policy support),Barack Obama,2014-11-12
Barack Obama,Make statement,Xi Jinping,2014-11-12
Xi Jinping,Express intent to cooperate,Barack Obama,2014-11-12
Barack Obama,Make statement,Xi Jinping,2014-11-13
Barack Obama,Consult,Dmitry Anatolyevich Medvedev,2014-11-13
Barack Obama,Make a visit,Xi Jinping,2014-11-13
Thailand,Express intent to cooperate,Vietnam,2014-11-13
Citizen (Australia),Demonstrate or rally,Police (Australia),2014-11-13
Barack Obama,Make optimistic comment,Myanmar,2014-11-13
Japan,Consult,China,2014-11-13
Xi Jinping,Sign formal agreement,Barack Obama,2014-11-13
China,Sign formal agreement,Association of Southeast Asian Nations,2014-11-13
Thailand,Consult,Vietnam,2014-11-13
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-11-13
Xi Jinping,Consult,Barack Obama,2014-11-13
Police (Australia),Physically assault,Citizen (Australia),2014-11-13
Imran Khan,Make statement,Government (Pakistan),2014-11-13
Association of Southeast Asian Nations,Sign formal agreement,China,2014-11-13
Barack Obama,Consult,Xi Jinping,2014-11-13
Japan,Sign formal agreement,China,2014-11-13
Benjamin Netanyahu,Express intent to meet or negotiate,John Kerry,2014-11-13
Education (Nigeria),Make statement,Boko Haram,2014-11-13
Barack Obama,Make statement,China,2014-11-13
Xi Jinping,Express intent to cooperate,Barack Obama,2014-11-13
China,Host a visit,Barack Obama,2014-11-13
Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-11-13
China,Consult,Japan,2014-11-13
Association of Southeast Asian Nations,Express intent to cooperate,China,2014-11-13
China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2014-11-13
Laos,Consult,Thailand,2014-11-13
Government (Pakistan),"Arrest, detain, or charge with legal action",Imran Khan,2014-11-13
Citizen (Kenya),Criticize or denounce,Police (Kenya),2014-11-13
Dmitry Anatolyevich Medvedev,Make statement,Barack Obama,2014-11-13
Dmitry Anatolyevich Medvedev,Make a visit,Myanmar,2014-11-13
John Kerry,Express intent to meet or negotiate,Benjamin Netanyahu,2014-11-13
Barack Obama,Express intent to cooperate,Xi Jinping,2014-11-13
Government (Mexico),Make statement,Criminal (Mexico),2014-11-13
Thailand,Provide economic aid,Laos,2014-11-13
Government Official (United States),Make a visit,Bahamas,2014-11-13
Ashraf Ghani Ahmadzai,Sign formal agreement,China,2014-11-13
Boko Haram,Criticize or denounce,Education (Nigeria),2014-11-13
Bahamas,Host a visit,Government Official (United States),2014-11-13
Police (Japan),Confiscate property,Kyoto University,2014-11-13
China,Express intent to cooperate,Japan,2014-11-13
Barack Obama,Make a visit,Myanmar,2014-11-13
Police (Japan),Praise or endorse,Kyoto University,2014-11-13
Boko Haram,Use conventional military force,Education (Nigeria),2014-11-13
China,Sign formal agreement,Japan,2014-11-13
China,Express intent to cooperate,Association of Southeast Asian Nations,2014-11-13
Vietnam,Consult,Thailand,2014-11-13
Kyoto University,Make statement,Police (Japan),2014-11-13
Benjamin Netanyahu,Consult,John Kerry,2014-11-13
Association of Southeast Asian Nations,Consult,China,2014-11-13
Iran,Cooperate economically,Iraq,2014-11-13
Barack Obama,Sign formal agreement,Xi Jinping,2014-11-13
Xi Jinping,Make statement,Barack Obama,2014-11-13
Police (Australia),Make an appeal or request,Citizen (Australia),2014-11-13
Police (Kenya),Sexually assault,Citizen (Kenya),2014-11-13
Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-11-13
Iraq,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2014-11-13
Vietnam,Express intent to cooperate,Thailand,2014-11-13
John Kerry,Consult,Benjamin Netanyahu,2014-11-13
Myanmar,Host a visit,Barack Obama,2014-11-13
Criminal (Mexico),Use unconventional violence,Government (Mexico),2014-11-13
Boko Haram,"Conduct suicide, car, or other non-military bombing",Education (Nigeria),2014-11-13
China,Host a visit,Ashraf Ghani Ahmadzai,2014-11-13
María Ángela Holguín,Make a visit,Middle East,2014-11-13
Citizen (Kenya),Make an appeal or request,Police (Kenya),2014-11-13
Middle East,Host a visit,María Ángela Holguín,2014-11-13
Tamar Beruchashvili,Consult,Foreign Affairs (United States),2014-11-13
Japan,Express intent to cooperate,China,2014-11-13
Xi Jinping,Express intent to meet or negotiate,Fiji,2014-11-13
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-11-13
Xi Jinping,Make a visit,Fiji,2014-11-13
Foreign Affairs (United States),Make statement,Tamar Beruchashvili,2014-11-13
Myanmar,Host a visit,Dmitry Anatolyevich Medvedev,2014-11-13
Barack Obama,Demand,Myanmar,2014-11-13
China,Consult,Association of Southeast Asian Nations,2014-11-13
Education (Pakistan),Host a visit,Imran Khan,2014-11-13
Police (Japan),Use conventional military force,Kyoto University,2014-11-13
Imran Khan,Make a visit,Education (Pakistan),2014-11-13
Fiji,Host a visit,Xi Jinping,2014-11-13
Iraq,Express intent to cooperate,Iran,2014-11-14
Court Judge (Nigeria),Accuse,Citizen (Nigeria),2014-11-14
Barack Obama,Make a visit,China,2014-11-14
Raheel Sharif,Host a visit,Head of Government (Afghanistan),2014-11-14
Protester (Egypt),Demonstrate or rally,Police (Egypt),2014-11-14
Victor Ponta,Make an appeal or request,Romania,2014-11-14
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-11-14
China,Host a visit,Barack Obama,2014-11-14
China,Yield,Thailand,2014-11-14
Xi Jinping,Express intent to cooperate,Barack Obama,2014-11-14
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-11-14
Citizen (Kenya),Demand intelligence cooperation,Police (Kenya),2014-11-14
China,Engage in negotiation,Head of Government (China),2014-11-14
Association of Southeast Asian Nations,Make a visit,Myanmar,2014-11-14
Iran,Praise or endorse,Iraq,2014-11-14
Myanmar,Host a visit,Association of Southeast Asian Nations,2014-11-14
Citizen (Nigeria),Criticize or denounce,Court Judge (Nigeria),2014-11-14
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-11-14
Xi Jinping,Make a visit,China,2014-11-14
North Korea,Host a visit,Special Rapporteurs of the United Nations,2014-11-14
China,Praise or endorse,Protester (Hong Kong),2014-11-14
Police (Kenya),"Return, release person(s)",Citizen (Kenya),2014-11-14
Police (Kenya),Sexually assault,Citizen (Kenya),2014-11-14
Special Rapporteurs of the United Nations,Make a visit,North Korea,2014-11-14
Xi Jinping,Consult,Barack Obama,2014-11-14
Government (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014-11-14
Japan,Make pessimistic comment,China,2014-11-14
Sergey Viktorovich Lavrov,Express intent to cooperate,Cabinet / Council of Ministers / Advisors (United States),2014-11-14
Portugal,Express intent to meet or negotiate,China,2014-11-14
Barack Obama,Express intent to cooperate,Xi Jinping,2014-11-14
Thief (India),Use unconventional violence,Citizen (India),2014-11-14
China,Make optimistic comment,Japan,2014-11-14
Thailand,Cooperate economically,China,2014-11-14
Head of Government (Afghanistan),Consult,Raheel Sharif,2014-11-14
Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014-11-14
South Sudan,Express intent to cooperate,Sudan,2014-11-14
Protester (Hong Kong),Express intent to meet or negotiate,China,2014-11-14
Barack Obama,Consult,Xi Jinping,2014-11-14
Priest (Uganda),Make a visit,Mexico,2014-11-14
Cabinet / Council of Ministers / Advisors (United States),Discuss by telephone,Sergey Viktorovich Lavrov,2014-11-14
Naval (China),Make a visit,Thailand,2014-11-14
China,Host a visit,Xi Jinping,2014-11-14
Mexico,Host a visit,Priest (Uganda),2014-11-14
Police (Kenya),Use conventional military force,Citizen (Kenya),2014-11-14
Head of Government (China),Appeal for diplomatic cooperation (such as policy support),China,2014-11-14
China,Engage in diplomatic cooperation,Portugal,2014-11-14
Citizen (Nigeria),Demand,Government (Nigeria),2014-11-14
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-11-14
China,Make an appeal or request,Japan,2014-11-14
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-11-14
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-11-14
Lawmaker (United Kingdom),Host a visit,Pussy Riot,2014-11-14
Romania,Make statement,Victor Ponta,2014-11-14
China,Host a visit,Ashraf Ghani Ahmadzai,2014-11-14
Xi Jinping,Engage in negotiation,Barack Obama,2014-11-14
Citizen (India),Accuse,Thief (India),2014-11-14
Pussy Riot,Make a visit,Lawmaker (United Kingdom),2014-11-14
Ashraf Ghani Ahmadzai,Make a visit,China,2014-11-14
Sudan,Employ aerial weapons,South Sudan,2014-11-14
Thailand,Host a visit,Naval (China),2014-11-14
Kim Jong-Un,Make a visit,North Korea,2014-11-15
Myanmar,Host a visit,Association of Southeast Asian Nations,2014-11-15
Canada,Make a visit,France,2014-11-15
María Ángela Holguín,Make a visit,Middle East,2014-11-15
Japan,Express intent to meet or negotiate,China,2014-11-15
Refugee (Vietnam),Make a visit,Canada,2014-11-15
Canada,Host a visit,Refugee (Vietnam),2014-11-15
Middle East,Host a visit,María Ángela Holguín,2014-11-15
Association of Southeast Asian Nations,Make a visit,Myanmar,2014-11-15
Japan,Criticize or denounce,China,2014-11-15
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-11-15
China,Host a visit,Ng Eng Hen,2014-11-15
Barack Obama,Engage in negotiation,Xi Jinping,2014-11-15
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-11-15
China,Sign formal agreement,Japan,2014-11-15
Protester (Egypt),Demonstrate or rally,Police (Egypt),2014-11-15
Joint Chiefs of Staff (United States),Make a visit,Iraq,2014-11-15
China,Express intent to meet or negotiate,Japan,2014-11-15
China,Sign formal agreement,Barack Obama,2014-11-15
Xi Jinping,Engage in negotiation,Barack Obama,2014-11-15
Japan,Sign formal agreement,China,2014-11-15
Ng Eng Hen,Make a visit,China,2014-11-15
Xi Jinping,Consult,Barack Obama,2014-11-15
Martin Lidegaard,Make a visit,Afghanistan,2014-11-15
Barack Obama,Make a visit,China,2014-11-15
Iraq,Host a visit,Joint Chiefs of Staff (United States),2014-11-15
Japan,Make pessimistic comment,China,2014-11-15
Afghanistan,Host a visit,Martin Lidegaard,2014-11-15
Philippines,Host a visit,Pope Francis,2014-11-15
Barack Obama,Consult,Xi Jinping,2014-11-15
North Korea,Host a visit,Kim Jong-Un,2014-11-15
France,Host a visit,Canada,2014-11-15
Pope Francis,Make a visit,Philippines,2014-11-15
Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014-11-15
Japan,Meet at a 'third' location,China,2014-11-16
China,Consult,South Korea,2014-11-16
François Hollande,Express intent to cooperate,Xi Jinping,2014-11-16
Middle East,Host a visit,María Ángela Holguín,2014-11-16
Victor Ponta,Praise or endorse,Klaus Johannis,2014-11-16
Iran,Engage in negotiation,China,2014-11-16
Barack Obama,Make a visit,Myanmar,2014-11-16
Iran,Engage in diplomatic cooperation,China,2014-11-16
China,Express intent to meet or negotiate,Japan,2014-11-16
Barack Obama,Consult,Xi Jinping,2014-11-16
United Arab Emirates,Host a visit,"Head of Government (Palestinian Territory, Occupied)",2014-11-16
Head of Government (Pakistan),Host a visit,Ashraf Ghani Ahmadzai,2014-11-16
François Hollande,Consult,Xi Jinping,2014-11-16
Xi Jinping,Make statement,François Hollande,2014-11-16
Ashraf Ghani Ahmadzai,Make a visit,Head of Government (Pakistan),2014-11-16
China,Meet at a 'third' location,Japan,2014-11-16
Japan,Express intent to meet or negotiate,China,2014-11-16
Xi Jinping,Consult,François Hollande,2014-11-16
Klaus Johannis,Discuss by telephone,Victor Ponta,2014-11-16
China,Meet at a 'third' location,South Korea,2014-11-16
China,Engage in negotiation,Iran,2014-11-16
Ashraf Ghani Ahmadzai,Make a visit,China,2014-11-16
South Korea,Consult,China,2014-11-16
South Korea,Meet at a 'third' location,China,2014-11-16
María Ángela Holguín,Make a visit,Middle East,2014-11-16
Japan,Consult,China,2014-11-16
Xi Jinping,Express intent to cooperate,François Hollande,2014-11-16
China,Host a visit,Ashraf Ghani Ahmadzai,2014-11-16
China,Engage in diplomatic cooperation,Iran,2014-11-16
Myanmar,Host a visit,Barack Obama,2014-11-16
Xi Jinping,Sign formal agreement,Barack Obama,2014-11-16
"Head of Government (Palestinian Territory, Occupied)",Make a visit,United Arab Emirates,2014-11-16
Frank Bainimarama,Make a visit,Fiji,2014-11-17
Ministry (South Africa),Praise or endorse,Government (South Africa),2014-11-17
Sergey Kuzhugetovich Shoygu,Make a visit,China,2014-11-17
Government (Kenya),Accede to demands for rights,Citizen (Kenya),2014-11-17
Barack Obama,Make a visit,China,2014-11-17
China,Host a visit,Abhisit Vejjajiva,2014-11-17
Barack Obama,Make statement,China,2014-11-17
China,Make statement,Iran,2014-11-17
China,Investigate,Student (Hong Kong),2014-11-17
Boko Haram,Use conventional military force,Citizen (Nigeria),2014-11-17
Boko Haram,fight with small arms and light weapons,Citizen (Nigeria),2014-11-17
Oversight Court (Nigeria),"Return, release person(s)",Citizen (Nigeria),2014-11-17
Abhisit Vejjajiva,Make a visit,China,2014-11-17
China,Engage in diplomatic cooperation,Japan,2014-11-17
Barack Obama,Cooperate economically,China,2014-11-17
Student (Hong Kong),Demonstrate or rally,China,2014-11-17
Citizen (India),fight with small arms and light weapons,Company - Owner or Operator (India),2014-11-17
