head,relation,tail,time
Head of Government (Ukraine),Discuss by telephone,Angela Merkel,2014/12/27
Military (Mali),Criticize or denounce,Combatant (Mali),2014/5/22
Court Judge (Kenya),Make an appeal or request,Government (Kenya),2014/6/20
Afghanistan,Engage in diplomatic cooperation,China,2014/10/29
Pinarayi Vijayan,Make statement,Communist Party of India,2014/8/23
Mulatu Teshome,Make statement,Ethiopia,2014/4/30
Benjamin Netanyahu,Express intent to meet or negotiate,John Kerry,2014/12/14
North Korea,Threaten,Japan,2014/5/12
Association of Southeast Asian Nations,Consult,Vietnam,2014/5/10
Colombia,Make an appeal or request,National Liberation Army,2014/2/27
Pavlo Klimkin,Deny responsibility,Sergey Viktorovich Lavrov,2014/7/19
Lawyer/Attorney (Egypt),Make statement,Hisham Barakat,2014/6/10
Criminal (United Arab Emirates),Investigate,Citizen (United Arab Emirates),2014/9/28
Citizen (India),Accuse,Member of Parliament (India),2014/12/19
Mohammad Javad Zarif,Express intent to meet or negotiate,Catherine Ashton,2014/2/4
Mauricio Domogan,Make statement,Philippines,2014/5/6
Naval (Sri Lanka),"Arrest, detain, or charge with legal action",Fishermen (Sri Lanka),2014/10/1
Police (Libya),Make statement,Attacker (Libya),2014/7/5
Iraq,Host a visit,John Kerry,2014/6/26
Member of Legislative (Govt) (Nigeria),Praise or endorse,Citizen (Nigeria),2014/8/11
France,Employ aerial weapons,Militant (Iraq),2014/9/19
John Kerry,Accuse,Iran,2014/7/2
Government (Venezuela),Accuse,Citizen (Venezuela),2014/6/11
Yemi Osinbajo,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2014/12/29
Governor (Japan),Make a visit,China,2014/4/30
Foreign Affairs (Russia),Discuss by telephone,Federica Mogherini,2014/9/1
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014/8/11
Uhuru Muigai Kenyatta,Make statement,Military Personnel - Special (Kenya),2014/5/5
Citizen (India),Accuse,Employee (India),2014/6/23
Sergey Viktorovich Lavrov,Make a visit,Ethiopia,2014/9/21
Armed Band (South Africa),Use unconventional violence,South Africa,2014/5/2
Canadian Armed Forces,fight with small arms and light weapons,Canada,2014/10/23
Nuri al-Maliki,Discuss by telephone,Joseph Robinette Biden,2014/5/17
John Kerry,Praise or endorse,UN Security Council,2014/2/23
Yulia Tymoshenko,Praise or endorse,Protester (Ukraine),2014/2/23
France,Express intent to cooperate,China,2014/1/12
Citizen (Australia),"Accuse of crime, corruption",Cabinet / Council of Ministers / Advisors (Australia),2014/6/13
John Kerry,Discuss by telephone,Fumio Kishida,2014/6/19
Mexico,Engage in diplomatic cooperation,Iran,2014/12/3
Representatives (Russia),Express intent to engage in diplomatic cooperation (such as policy support),Sergey Viktorovich Lavrov,2014/9/25
Chris Olukolade,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2014/4/1
China,Praise or endorse,South Africa,2014/9/6
Barack Obama,Discuss by telephone,Abdel Fattah Al-Sisi,2014/6/10
Goh Chok Tong,Make a visit,Vietnam,2014/9/23
Mahinda Rajapaksa,Accuse,People Associated with the Opposition (Sri Lanka),2014/3/23
Catherine Ashton,Make a visit,Iran,2014/3/7
Akitaka Saiki,Consult,Cho Tai-young,2014/10/2
Citizen (Namibia),Express intent to meet or negotiate,Legislature (Namibia),2014/12/2
Other Authorities / Officials (Namibia),"Arrest, detain, or charge with legal action",Citizen (Namibia),2014/4/15
Barack Obama,Threaten,North Korea,2014/12/20
Abu Sayyaf,fight with small arms and light weapons,Philippines,2014/7/28
Foreign Affairs (Kuwait),Make statement,Kuwait,2014/11/25
Chuck Hagel,Engage in negotiation,Chang Wanquan,2014/4/10
Company - Owner or Operator (Italy),Praise or endorse,Giorgio Napolitano,2014/2/17
South Korea,Host a visit,Barack Obama,2014/4/20
Thailand,Express intent to engage in diplomatic cooperation (such as policy support),Cambodia,2014/6/25
Barack Obama,Praise or endorse,Pope Francis,2014/12/17
Hezbollah,Praise or endorse,Government (Syria),2014/4/14
Citizen (Nigeria),Accuse,Head of Government (Nigeria),2014/12/4
Justicialist Party,Express intent to cooperate,Cristina Fernández de Kirchner,2014/4/18
Antonis Samaras,Discuss by telephone,Evangelos Venizelos,2014/9/30
Court Judge (Nigeria),"Accuse of crime, corruption",Citizen (Nigeria),2014/7/9
Militant (Boko Haram),Use unconventional violence,Citizen (Nigeria),2014/3/2
Shimon Peres,Consult,Federica Mogherini,2014/7/16
John Kerry,Express intent to engage in diplomatic cooperation (such as policy support),Fumio Kishida,2014/11/7
Bhupinder Singh Hooda,Make statement,Employee (India),2014/1/2
Barack Obama,Threaten,Government (Syria),2014/1/29
Gen Prayut Chan-o-cha,Make pessimistic comment,Citizen (Thailand),2014/12/28
Iran,Provide aid,Iraq,2014/12/25
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Head of Government (China),2014/12/26
Citizen (India),Make an appeal or request,Election Commission (India),2014/4/25
Mulatu Teshome,Make statement,Ethiopia,2014/2/4
David Hanson,Make a visit,France,2014/10/28
Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov,2014/12/14
Rupiah Banda,Make an appeal or request,Citizen (Zambia),2014/10/7
Military (Mali),Use conventional military force,Armed Rebel (Mali),2014/5/23
Government (Syria),Make statement,Armed Rebel (Syria),2014/2/28
Majid Takht Ravanchi,Consult,France,2014/7/15
Stephen Davis,Accuse,Azubuike Ihejirika,2014/9/12
John Kerry,Consult,Benjamin Netanyahu,2014/12/7
Canada,Make an appeal or request,Education Ministry (Canada),2014/8/27
Citizen (Unidentified State Actor),Threaten,Iran,2014/6/23
Court Judge (India),"Arrest, detain, or charge with legal action",Citizen (India),2014/1/8
Barack Obama,Express intent to de-escalate military engagement,Afghanistan,2014/7/12
François Hollande,Make an appeal or request,France,2014/8/21
Police (Senegal),Use conventional military force,Criminal (Senegal),2014/8/19
Citizen (Croatia),Demand,Ministry (Croatia),2014/3/27
Iran,Make an appeal or request,UN Security Council,2014/8/29
Joseph Robinette Biden,Praise or endorse,United Arab Emirates,2014/10/5
Barack Obama,Engage in negotiation,Xi Jinping,2014/11/12
Military (United Kingdom),Employ aerial weapons,Iraq,2014/9/26
South Korea,Make a visit,China,2014/3/28
Rafael Correa,Consult,Immigrants (Ecuador),2014/4/26
Malaysia,Make optimistic comment,Vietnam,2014/3/17
Adams Oshiomhole,Express intent to cooperate,Citizen (Nigeria),2014/2/5
John Kerry,Engage in negotiation,Mohammad Javad Zarif,2014/7/16
Men (India),Use unconventional violence,Women (Poland),2014/3/29
Victor Ponta,Make statement,National Union Party (Romania),2014/10/7
Mexico,Host a visit,Xi Jinping,2014/7/17
China,Threaten,North Korea,2014/5/20
Morocco,Reduce or break diplomatic relations,Iran,2014/2/6
Police (Australia),Investigate,Citizen (Australia),2014/6/11
Member of Parliament (India),Express intent to meet or negotiate,Citizen (India),2014/9/9
Shiv Sena,Sign formal agreement,Amit Shah,2014/9/24
China,Express intent to meet or negotiate,France,2014/1/22
Chuck Hagel,Make statement,North Atlantic Treaty Organization,2014/5/2
Canada,Make statement,China,2014/10/16
Justice Department/Ministery (Thailand),Criticize or denounce,Citizen (Thailand),2014/4/10
Protester (Thailand),Demonstrate or rally,Thailand,2014/5/12
Citizen (Greece),Physically assault,Police (Greece),2014/11/17
John Kerry,Criticize or denounce,Benjamin Netanyahu,2014/3/16
Communist Party of India,"Accuse of crime, corruption",Oommen Chandy,2014/4/2
Future Movement,Make statement,Hezbollah,2014/1/6
Xi Jinping,Consult,Barack Obama,2014/11/21
Mohammad Javad Zarif,Make an appeal or request,Citizen (Yemen),2014/12/4
Thief (India),Use unconventional violence,Citizen (India),2014/2/25
Le Luong Minh,Praise or endorse,Philippines,2014/11/12
Barack Obama,Mobilize or increase armed forces,Iraq,2014/9/3
Abdel Fattah Al-Sisi,Discuss by telephone,Angela Merkel,2014/9/8
National Council for Peace and Order of Thailand,Impose restrictions on political freedoms,Thailand,2014/10/22
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014/7/29
Myanmar,Host a visit,John Kerry,2014/8/12
Finance / Economy / Commerce / Trade Ministry (Canada),Make statement,Canada,2014/10/15
China,Host a visit,John Kerry,2014/2/11
Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014/10/18
Sergey Viktorovich Lavrov,Consult,John Kerry,2014/3/20
Prayuth Chan-ocha,Threaten,Citizen (Thailand),2014/6/18
Muhammadu Buhari,Make statement,Head of Government (Nigeria),2014/9/30
Criminal (Brazil),Use unconventional violence,Citizen (Brazil),2014/1/10
Chris Olukolade,Refuse to yield,Terrorist (Nigeria),2014/8/25
Citizen (Kenya),Express intent to cooperate,Jackson Mandago,2014/6/30
Tahirul Qadri,Make statement,Imran Khan,2014/8/19
Men (India),Threaten,Medical Personnel (India),2014/7/24
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014/11/6
Election Commission (Afghanistan),Make statement,Government Official (Afghanistan),2014/5/20
John Kerry,Consult,North Atlantic Treaty Organization,2014/12/2
Benjamin Netanyahu,Make an appeal or request,Likud,2014/9/16
Ministry (Brazil),Criticize or denounce,Citizen (Brazil),2014/9/18
Malaysia,Express intent to engage in diplomatic cooperation (such as policy support),China,2014/10/8
Japan,Use conventional military force,Philippines,2014/1/24
Frank Bainimarama,Make a visit,Fiji,2014/10/20
Alpha Condé,Make statement,Mohamed Said Fofana,2014/1/21
Government (Venezuela),Accuse,Leopoldo López,2014/4/5
Austria Press Agency,Make statement,Armed Forces of the Republic of Armenia,2014/8/5
Chishimba Kambwili,Demand,Citizen (Zambia),2014/4/8
Citizen (Cote d'Ivoire),Make an appeal or request,Activist (Cote d'Ivoire),2014/3/10
Benjamin Netanyahu,Express intent to meet or negotiate,Hamas,2014/10/1
Foreign Affairs (Russia),Criticize or denounce,Government (United States),2014/2/7
Foreign Affairs (Russia),Engage in negotiation,Sergey Viktorovich Lavrov,2014/9/18
Medical Personnel (India),Criticize or denounce,Citizen (India),2014/11/7
Farm Worker (Thailand),"Impose blockade, restrict movement",Thailand,2014/1/24
Raheel Sharif,Consult,Abdullah Abdullah,2014/11/6
Murderer (Nigeria),Use unconventional violence,Citizen (Nigeria),2014/1/9
Terrorist (Boko Haram),Use unconventional violence,Citizen (Nigeria),2014/7/17
Mohammad Javad Zarif,Meet at a 'third' location,Catherine Ashton,2014/5/26
South Korea,Make statement,China,2014/6/30
Prayuth Chan-ocha,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014/5/26
France,Meet at a 'third' location,China,2014/5/13
Police (Australia),"Return, release person(s)",Agence France-Presse,2014/11/30
Insurgent (Islamic State of Iraq and the Levant),"Abduct, hijack, or take hostage",Children (Iraq),2014/10/3
Defense / Security Ministry (Iraq),Make statement,Air Force (Iraq),2014/9/9
Ministry (Malaysia),Make statement,Malaysia,2014/6/7
South Korea,Express intent to cooperate,China,2014/11/19
John Kerry,Express intent to meet or negotiate,Julie Bishop,2014/7/28
Citizen (India),Accuse,Employee (India),2014/8/26
Tomislav Nikolić,Make statement,Serbia,2014/5/12
Treasury/Finance Ministry (Armenia),Make statement,Armenia,2014/12/2
Citizen (Nigeria),Make an appeal or request,Company - Owner or Operator (Nigeria),2014/9/15
Liu Jianchao,Make statement,China,2014/12/31
Police (Australia),Accuse,Citizen (Australia),2014/8/25
Uhuru Muigai Kenyatta,Demand,Citizen (Kenya),2014/5/30
Cho Hyun-ah,Criticize or denounce,Citizen (South Korea),2014/12/26
Abdolreza Rahmani-Fazli,Make statement,Iran,2014/5/5
China,Host a visit,Kazakhstan,2014/10/29
South Sudan,Host a visit,Umar al Bashir,2014/1/6
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014/9/14
Julie Bishop,Consult,John Kerry,2014/8/11
Health Ministry (Canada),Express intent to meet or negotiate,Canada,2014/9/24
Envoy (United States),Express intent to meet or negotiate,Japan,2014/10/25
Mohammad Javad Zarif,Make statement,Iran,2014/4/7
Democratic Party,Make statement,Grand National Party,2014/1/22
Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014/8/25
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014/1/20
Barack Obama,Express intent to provide military aid,Iraq,2014/6/25
Head of Government (Madagascar),Make statement,Government (Madagascar),2014/1/26
France,Make statement,China,2014/2/27
Afghanistan,Make statement,North Atlantic Treaty Organization,2014/12/26
Pope Francis,Make an appeal or request,Organized Crime (Holy See (Vatican City State)),2014/3/21
China,Make optimistic comment,Iran,2014/11/24
Court Judge (United Kingdom),Demand,Citizen (United Kingdom),2014/1/24
Chuck Hagel,Consult,Irakli Alasania,2014/5/8
Armed Band (Afghanistan),Use unconventional violence,Afghanistan,2014/3/25
Ministry (Tanzania),Make statement,Police (Tanzania),2014/11/10
Hamas,Make statement,Head of Government (Qatar),2014/6/5
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014/8/9
China,Engage in diplomatic cooperation,Association of Southeast Asian Nations,2014/8/11
Oman,Engage in negotiation,Kuwait,2014/7/8
Mamnoon Hussain,Consult,Zhang Dejiang,2014/2/19
Lawmaker (United States),"Impose embargo, boycott, or sanctions",Iran,2014/9/27
Armed Band (Central African Republic),Use unconventional violence,Military (Central African Republic),2014/3/30
Sergey Viktorovich Lavrov,Make statement,Media (Russia),2014/6/5
Government (Nigeria),Make an appeal or request,Labor Union (Nigeria),2014/3/20
Mevlut Cavusoglu,Discuss by telephone,Mohammad Javad Zarif,2014/10/2
Chuck Hagel,Make statement,Iraq,2014/11/18
Iraq,"Return, release person(s)",Nurse (India),2014/7/4
Foreign Affairs (United States),Appeal for intelligence,China,2014/6/10
Xi Jinping,Express intent to meet or negotiate,Barack Obama,2014/10/30
Edgars Rinkevics,Express intent to meet or negotiate,Federica Mogherini,2014/6/27
Thailand,Engage in diplomatic cooperation,Cambodia,2014/12/2
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Tajikistan,2014/9/10
Mark Simmonds,Engage in negotiation,Aïchatou Mindaoudou Souleymane,2014/1/31
Government (Pakistan),Make statement,Imran Khan,2014/8/18
Military Personnel (Philippines),Make statement,Military (Philippines),2014/7/13
Fumio Kishida,Praise or endorse,Philippines,2014/4/12
Member of Parliament (Russia),Make an appeal or request,Ministry (Russia),2014/1/31
Jakaya Mrisho Kikwete,Express intent to meet or negotiate,China,2014/10/21
Protester (Thailand),Demonstrate or rally,Thailand,2014/4/1
Court Judge (India),Express intent to release persons or property,Citizen (India),2014/9/8
Militant (Syria),Occupy territory,Government (Syria),2014/8/7
United Arab Emirates,Engage in diplomatic cooperation,Bahrain,2014/3/11
Foreign Affairs (United States),Consult,Vladimir Dzhabarov,2014/11/5
Head of Government (India),Express intent to meet or negotiate,Citizen (India),2014/3/12
John Kerry,Express intent to meet or negotiate,France,2014/12/15
France,Employ aerial weapons,Iraq,2014/9/20
Bolivia,Criticize or denounce,International Court of Justice,2014/6/10
Iraq,Provide humanitarian aid,Displaced Families (Iraq),2014/1/8
Government Official (Germany),Sign formal agreement,European Central Bank,2014/9/18
Ma Ying Jeou,Make statement,China,2014/6/4
Police (Sudan),Confiscate property,Sudan,2014/12/21
Citizen (Malaysia),Demand material cooperation,Ministry (Malaysia),2014/8/26
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014/1/4
Foreign Affairs (Venezuela),Praise or endorse,Iran,2014/3/3
Media (China),Make statement,China,2014/8/2
Lawyer/Attorney (Australia),Express intent to meet or negotiate,Citizen (Australia),2014/7/28
Boko Haram,Engage in negotiation,Stephen Davis,2014/9/3
Boko Haram,Sign formal agreement,Government (Nigeria),2014/10/17
Iraq,Consult,Sergey Viktorovich Lavrov,2014/2/20
Secret Agent (Philippines),"Arrest, detain, or charge with legal action",Criminal (Philippines),2014/4/21
City Mayor (Philippines),Make statement,Philippines,2014/1/20
Security Service of Ukraine,"Arrest, detain, or charge with legal action",Police (Ukraine),2014/10/15
Iran,Sign formal agreement,Iraq,2014/10/25
South Sudan,Express intent to engage in diplomatic cooperation (such as policy support),Sudan,2014/2/4
Mary Robinson,Consult,UN Security Council,2014/1/14
Zhang Dejiang,Make statement,Xi Jinping,2014/11/27
Court Judge (India),"Arrest, detain, or charge with legal action",Men (India),2014/10/1
Catherine Ashton,Express intent to meet or negotiate,Iran,2014/1/12
Cameroon,Consult,Niger,2014/5/16
France,Host a visit,François Hollande,2014/6/1
Umar al Bashir,Make statement,France,2014/11/5
Arseniy Yatsenyuk,Express intent to meet or negotiate,Militant (Ukraine),2014/4/22
France,Express intent to meet or negotiate,Iran,2014/1/23
Citizen (Nigeria),Express intent to release persons or property,Education (Nigeria),2014/10/27
Doctors Without Borders,Make an appeal or request,Other Authorities / Officials (Chad),2014/4/2
Indigenous People (Kenya),Criticize or denounce,Citizen (Kenya),2014/2/20
Iraq,Host a visit,Nuri al-Maliki,2014/2/18
China,Criticize or denounce,Vietnam,2014/5/23
Nigerian Navy,"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014/3/17
Head of Government (China),Express intent to engage in diplomatic cooperation (such as policy support),Frank Bainimarama,2014/9/23
Barack Obama,Make statement,Iran,2014/12/29
Iran,Employ aerial weapons,Iraq,2014/12/3
Government (United States),Provide military protection or peacekeeping,Citizen (Nigeria),2014/6/20
Foreign Affairs (Italy),Sign formal agreement,Niko Peleshi,2014/12/11
Lawyer/Attorney (Australia),Demand,Member of Parliament (Australia),2014/3/18
Dmitry Anatolyevich Medvedev,Accuse,Health Ministry (Russia),2014/5/23
Middle East,Host a visit,Foreign Affairs (United States),2014/9/11
Chaudhry Nisar Ali Khan,Make statement,Government (Pakistan),2014/9/4
Arkady Dvorkovich,Praise or endorse,Business (Russia),2014/1/29
Will Hodgman,Demand,Green Party (Australia),2014/3/18
Police (Israel),Investigate,Criminal (Israel),2014/11/18
Citizen (Brazil),Yield,Ministry (Brazil),2014/5/31
Ministry (Egypt),Make statement,Criminal (Egypt),2014/1/9
Mohammad Javad Zarif,Make statement,Iran,2014/12/3
Government (Syria),"Arrest, detain, or charge with legal action",Men (Syria),2014/1/28
Milos Zeman,Criticize or denounce,Ministry (Czech Republic),2014/9/10
Qatar,Sign formal agreement,Iran,2014/7/4
Citizen (Kenya),Accuse,Police (Kenya),2014/10/14
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Afghanistan,2014/8/9
Lawmaker (United Kingdom),Express intent to meet or negotiate,China,2014/9/6
United Arab Emirates,Host a visit,Abdel Fattah Al-Sisi,2014/3/11
South Korea,Engage in diplomatic cooperation,Iran,2014/3/4
South Korea,"Arrest, detain, or charge with legal action",Lawmaker (South Korea),2014/2/18
Villager (India),Reject,Citizen (India),2014/12/25
Armed Gang (Egypt),fight with small arms and light weapons,Police (Egypt),2014/2/13
Imran Khan,Make statement,Head of Government (Pakistan),2014/1/27
Immigrants (Myanmar),Use unconventional violence,Tourist (United Kingdom),2014/9/21
Barack Obama,Make statement,Arseniy Yatsenyuk,2014/3/12
Militant (Syria),Use unconventional violence,Armed Rebel (Syria),2014/11/20
Farm Worker (Thailand),"Obstruct passage, block",Thailand,2014/1/17
Tan Sri Muhyiddin Yassin,Make statement,Malaysia,2014/6/13
Citizen (Kenya),Use unconventional violence,Police (Kenya),2014/5/29
Ministry (Nigeria),Make statement,Government (Nigeria),2014/10/2
Legislature (Iraq),Praise or endorse,Party Member (Iraq),2014/9/11
Police (Ukraine),Make an appeal or request,Protester (Ukraine),2014/1/27
Catherine Ashton,Engage in negotiation,Wendy Sherman,2014/7/5
Military Personnel (Thailand),Make statement,Military (Thailand),2014/5/9
Police (Senegal),Criticize or denounce,Student (Senegal),2014/8/25
Congo,Express intent to meet or negotiate,Angola,2014/3/23
Ivan Gasparovic,Express intent to meet or negotiate,Poland,2014/5/13
City Mayor (Philippines),Make statement,Police (Philippines),2014/9/18
Japan,Express intent to meet or negotiate,South Korea,2014/4/14
Fumio Kishida,Make statement,Japan,2014/7/11
Canada,Make an appeal or request,Business (Canada),2014/8/19
Government (Germany),Reduce relations,Citizen (Germany),2014/7/18
Sergey Viktorovich Lavrov,Make statement,Iran,2014/9/29
Poland,Express intent to engage in diplomatic cooperation (such as policy support),China,2014/3/14
Afghanistan,Host a visit,John Kerry,2014/8/7
Government (Argentina),Make an appeal or request,Member of the Judiciary (United States),2014/7/31
North Atlantic Treaty Organization,Make statement,Military (Russia),2014/11/26
Mohammad Javad Zarif,Appeal for diplomatic cooperation (such as policy support),Iran,2014/1/14
Armed Gang (India),Kill by physical assault,Citizen (India),2014/8/2
Citizen (Kenya),Accuse,Court Judge (Kenya),2014/8/21
Ministry (Iran),Make statement,Iran,2014/4/12
Government (Pakistan),Reject,Pervez Musharraf,2014/4/5
Nonaligned Movement,Make a visit,Iran,2014/8/4
Armed Band (Afghanistan),"Abduct, hijack, or take hostage",Afghanistan,2014/8/16
Police (Australia),Make an appeal or request,Citizen (Australia),2014/12/27
Mohammad Javad Zarif,Express intent to meet or negotiate,Catherine Ashton,2014/10/31
Ministry (Nigeria),Make statement,Government (Nigeria),2014/4/2
Zhang Yesui,Make statement,China,2014/3/27
Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2014/7/5
Emeka Ihedioha,Make statement,Government (Nigeria),2014/8/25
United Arab Emirates,"Arrest, detain, or charge with legal action",Citizen (United Arab Emirates),2014/7/2
Arseniy Yatsenyuk,Make an appeal or request,North Atlantic Treaty Organization,2014/3/6
Ministry (Tanzania),Make statement,Tanzania,2014/5/19
Citizen (Nigeria),Express intent to engage in diplomatic cooperation (such as policy support),Rauf Aregbesola,2014/5/28
Catherine Ashton,Consult,Cabinet / Council of Ministers / Advisors (United States),2014/11/12
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014/3/25
Barack Obama,Sign formal agreement,Xi Jinping,2014/11/26
Barack Obama,Make a visit,South Korea,2014/4/28
Sergey Viktorovich Lavrov,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2014/9/28
Envoy (United States),Appeal for policy change,Member of the Judiciary (Liberia),2014/2/26
Citizen (Tonga),fight with small arms and light weapons,Police (Tonga),2014/10/8
Media (China),Make statement,China,2014/4/22
Cristina Fernández de Kirchner,Consult,China,2014/7/25
Pietro Parolin,Consult,Barack Obama,2014/3/28
Media Personnel (France),Meet at a 'third' location,François Hollande,2014/9/18
Benjamin Netanyahu,Make an appeal or request,Police (Israel),2014/7/3
Zalmai Rassoul,Consult,Abdullah Abdullah,2014/5/12
Mahinda Rajapaksa,Consult,Xi Jinping,2014/9/16
Abdel Fattah Al-Sisi,Make a visit,China,2014/12/24
Citizen (Tonga),Use unconventional violence,Police (Tonga),2014/5/23
Barack Obama,Express intent to cooperate,Benjamin Netanyahu,2014/3/3
Justin Trudeau,Make statement,Liberals (Canada),2014/8/19
Timor-Leste,Make an appeal or request,International Court of Justice,2014/3/3
Police (Canada),Appeal for intelligence,Business (Canada),2014/9/17
South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2014/8/6
Japan,Express intent to meet or negotiate,North Korea,2014/3/28
Guatemala,Consult,Belize,2014/1/13
Citizen (Thailand),Make an appeal or request,Thailand,2014/1/3
Zawahiri,Criticize or denounce,Armed Rebel (Syria),2014/4/8
Protester (Egypt),"Protest violently, riot",Police (Egypt),2014/1/4
Militant (Turkey),"Abduct, hijack, or take hostage",Citizen (Turkey),2014/6/21
Sudan,Host a visit,Umar al Bashir,2014/11/5
China,Reduce relations,Citizen (Norway),2014/4/24
Ministry (South Korea),Make statement,North Korea,2014/6/12
Election Commission (India),Make pessimistic comment,Citizen (India),2014/4/24
Stephen Davis,Accuse,Boko Haram,2014/9/15
Governor (Kenya),Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Kenya),2014/2/17
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014/1/15
Head of Government (Ukraine),Discuss by telephone,Joseph Robinette Biden,2014/7/11
Iraq,Host a visit,Chuck Hagel,2014/12/11
Citizen (Nigeria),Make pessimistic comment,Ministry (Nigeria),2014/7/9
Abdullah Abdullah,Make an appeal or request,Afghanistan,2014/5/22
North Korea,"Return, release person(s)",Detainee (United States),2014/11/9
Military (Russia),Confiscate property,Naval (Ukraine),2014/3/25
Foreign Affairs (Russia),Make statement,North Korea,2014/12/1
Citizen (Turkey),Criticize or denounce,Justice and Development Party,2014/4/28
Police (United States),Make statement,Subaru,2014/12/29
Citizen (Guinea),Physically assault,Guinea,2014/4/7
Benjamin Netanyahu,Make statement,Hamas,2014/9/21
Police (Tanzania),Investigate,Tanzania,2014/4/17
Protester (Ukraine),Make statement,Police (Ukraine),2014/1/26
Boko Haram,Use unconventional violence,Citizen (Nigeria),2014/5/22
Chibuike Rotimi Amaechi,Make statement,Head of Government (Nigeria),2014/10/6
Foreign Affairs (Israel),Consult,France,2014/1/16
Villager (Iraq),Use unconventional violence,Militant (Iraq),2014/7/9
Barack Obama,Express intent to settle dispute,Xi Jinping,2014/11/12
Head of Government (Nigeria),Provide humanitarian aid,Citizen (Nigeria),2014/3/13
Citizen (South Korea),Reduce relations,Grand National Party,2014/6/18
South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2014/9/26
Xi Jinping,Engage in negotiation,Milos Zeman,2014/10/27
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014/2/28
Insurgent (Afghanistan),Use unconventional violence,Military Personnel - Special (Afghanistan),2014/7/23
Head of Government (China),Engage in negotiation,Barack Obama,2014/11/12
Lawyer/Attorney (Germany),"Return, release property",Citizen (Germany),2014/4/9
Sudan,Host a visit,Umar al Bashir,2014/5/8
Citizen (South Korea),Express intent to meet or negotiate,South Korea,2014/5/20
Hezbollah,Make empathetic comment,Military (Lebanon),2014/8/3
Election Commission (India),Make an appeal or request,Citizen (India),2014/9/27
Reza Najafi,Make statement,Iran,2014/9/3
Medical Personnel (Australia),Demand,Citizen (Australia),2014/1/23
Canada,Provide military aid,Middle East,2014/10/7
Mohammad Javad Zarif,Consult,Cabinet / Council of Ministers / Advisors (United States),2014/10/16
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014/3/20
Member of Parliament (Thailand),Bring lawsuit against,Cabinet / Council of Ministers / Advisors (Thailand),2014/7/3
Member of the Judiciary (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014/3/20
Justicialist Party,Express intent to cooperate,Cristina Fernández de Kirchner,2014/4/17
Citizen (Kenya),Accuse,Government (Kenya),2014/10/10
Ministry (Russia),Express intent to cooperate,Cabinet / Council of Ministers / Advisors (United States),2014/4/9
Joseph Katema,Make statement,Zambia National Broadcasting Corporation,2014/12/4
Citizen (Kenya),Make an appeal or request,Uhuru Muigai Kenyatta,2014/11/23
Portugal,Make a visit,Iran,2014/1/28
Police (Australia),Make pessimistic comment,Lawyer/Attorney (Australia),2014/8/26
Police (Canada),Increase police alert status,Canada,2014/10/23
Japan,Consult,China,2014/9/11
Ed Royce,Make statement,South Korea,2014/12/9
North Korea,Accuse,Japan,2014/3/18
Iran,Sign formal agreement,Barack Obama,2014/7/11
Catherine Ashton,Express intent to meet or negotiate,Kuwait,2014/1/16
Defense / Security Ministry (Azerbaijan),Make statement,Armenia,2014/12/25
Court Judge (Malaysia),Demand,Citizen (Malaysia),2014/11/14
Nabil Abu-Rudaynah,Make statement,Benjamin Netanyahu,2014/1/11
Government (South Africa),Engage in negotiation,Government (Nigeria),2014/9/17
Government (Mexico),Mobilize or increase armed forces,Mexico,2014/4/2
Isatou Njie-Saidy,Make statement,Gambia,2014/4/10
City Mayor (Philippines),Make statement,Philippines,2014/7/25
Head of Government (Ukraine),Consult,Cabinet / Council of Ministers / Advisors (United States),2014/9/4
State Media (China),Make statement,Xi Jinping,2014/11/11
Head of Government (Nigeria),Make an appeal or request,Government (Nigeria),2014/4/7
